table_addr,can_id_hex,dir,dbc_message,dlc,dbc_tx_node
0x044760,0x753,RX,ISO_Waehlhebel_Req,8,Gateway_D4C7
0x044764,0x7bd,TX,ISO_Waehlhebel_Resp,8,Getriebe_AL551_951_D4_C7
0x044768,0x5f0,RX,Dimmung_01,5,Gateway_D4C7
0x04476c,0x586,TX,Waehlhebel_02,8,Getriebe_AL551_951_D4_C7
0x044770,0x3a1,RX,PSD_01,8,Gateway_D4C7
0x044774,0x3a2,RX,PSD_02,8,Gateway_D4C7
0x044778,0x013,?,UNKNOWN,0,?
0x04477c,0x012,?,UNKNOWN,0,?
0x044780,0x082,TX,Getriebe_01,8,Getriebe_AL551_951_D4_C7
0x044784,0x083,TX,Getriebe_02,8,Getriebe_AL551_951_D4_C7
0x044788,0x102,TX,Getriebe_03,8,Getriebe_AL551_951_D4_C7
0x04478c,0x441,TX,Getriebe_04,8,Getriebe_AL551_951_D4_C7
0x044790,0x390,TX,WBA_01,4,Getriebe_AL551_651_B8
0x044794,0x393,?,UNKNOWN,0,?
0x044798,0x10d,RX,ACC_05,8,Gateway_D4C7
0x04479c,0x520,RX,Airbag_02,8,Airbag_D4
0x0447a0,0x661,RX,Anhaenger_01,3,Gateway_D4C7
0x0447a4,0x385,RX,Charisma_01,8,Gateway_D4C7
0x0447a8,0x6b2,RX,Diagnose_01,8,Gateway_D4C7
0x0447ac,0x104,RX,EPB_01,8,EPB_D4
0x0447b0,0x100,RX,ESP_01,8,Gateway_D4C7
0x0447b4,0x101,RX,ESP_02,8,Gateway_D4C7
0x0447b8,0x103,RX,ESP_03,8,Gateway_D4C7
0x0447bc,0x106,RX,ESP_05,8,Gateway_D4C7
0x0447c0,0x39c,RX,Gateway_05,8,Gateway_D4C7
0x0447c4,0x3c0,RX,Klemmen_Status_01,4,Gateway_D4C7
0x0447c8,0x3bf,RX,Klima_01,8,Gateway_D4C7
0x0447cc,0x30b,RX,Kombi_01,8,Gateway_D4C7
0x0447d0,0x6b7,RX,Kombi_02,8,Gateway_D4C7
0x0447d4,0x6b8,RX,Kombi_03,8,Gateway_D4C7
0x0447d8,0x10b,RX,LS_01,4,Gateway_D4C7
0x0447dc,0x086,RX,LWI_01,8,LWS_D4
0x0447e0,0x080,RX,Motor_01,8,Motor_EDC17_D4
0x0447e4,0x081,RX,Motor_02,8,Motor_EDC17_D4
0x0447e8,0x105,RX,Motor_03,8,Motor_EDC17_D4
0x0447ec,0x30e,RX,Motor_05,8,Motor_EDC17_D4
0x0447f0,0x640,RX,Motor_07,8,Motor_EDC17_D4
0x0447f4,0x114,RX,Motor_10,8,Motor_EDC17_D4
0x0447f8,0x670,RX,Motor_18,8,Motor_EDC17_D4
0x0447fc,0x641,RX,Motor_Code_01,8,Motor_EDC17_D4
0x044800,0x391,RX,OBD_01,8,Motor_EDC17_D4
0x044804,0x585,RX,Systeminfo_01,8,Gateway_D4C7
0x044808,0x10a,RX,TSK_01,8,Motor_MLB_AU48_AU416_Diesel
0x04480c,0x10c,RX,TSK_02,8,Motor_MLB_AU48_AU416_Diesel
0x044810,0x10e,RX,TSK_04,8,Motor_EDC17_D4
0x044814,0x111,RX,TSK_05,8,Motor_EDC17_D4
0x044818,0x1ea,TX,CCP_GE_DTO_01,8,Getriebe_AL551_951_D4_C7
0x04481c,0x1e2,RX,CCP_GE_CR0_01,8,Gateway_D4C7
0x04483c,0x700,RX,ISO_Funktionaler_Req_All,8,Gateway_D4C7
0x044840,0x703,RX,ISO_Funktionaler_Req_Aggregate,8,Gateway_D4C7
0x04485c,0x6c2,TX,NMH_Getriebe,7,Getriebe_AL551_951_D4_C7
0x044860,0x6c0,RX,NMH_Gateway,7,Gateway_D4C7
0x044864,0x088,?,UNKNOWN,0,?
0x044868,0x089,?,UNKNOWN,0,?
0x04486c,0x04b,?,UNKNOWN,0,?
