table_addr,flags_ram,databuf_ram,msg_index
0x044870,0xfff939a7,0xfff91ae8,0x4c
0x04487c,0xfff939b0,0xfff91af0,0x4d
0x044888,0xfff939b3,0xfff91b08,0x4e
0x044894,0xfff939b4,0xfff91b10,0x4f
0x0448a0,0xfff939b5,0xfff91b18,0x50
0x0448ac,0xfff939b7,0xfff91b28,0x51
0x0448b8,0xfff9399d,0xfff91b30,0x52
0x0448c4,0xfff9399e,0xfff91b38,0x53
0x0448d0,0xfff9399f,0xfff91b40,0x54
0x0448dc,0xfff939a0,0xfff91b48,0x55
0x0448e8,0xfff939a1,0xfff91b50,0x56
0x0448f4,0xfff939a2,0xfff91b58,0x57
0x044900,0xfff939a3,0xfff91b60,0x58
0x04490c,0xfff939a4,0xfff91b68,0x59
0x044918,0xfff939a5,0xfff91b70,0x5a
0x044924,0xfff939a6,0xfff91b78,0x5b
0x044930,0xfff939a8,0xfff91b80,0x5c
0x04493c,0xfff939a9,0xfff91b88,0x5d
0x044948,0xfff939aa,0xfff91b90,0x5e
0x044954,0xfff939ab,0xfff91b98,0x5f
0x044960,0xfff939ac,0xfff91ba0,0x60
0x04496c,0xfff939ad,0xfff91ba8,0x61
0x044978,0xfff939ae,0xfff91bb0,0x62
0x044984,0xfff939af,0xfff91bb8,0x01
