message,signal,start_bit,length,factor,offset
Getriebe_01,GE_Schaltvorgang,12,1,1.0,0.0
Getriebe_01,GE_Status_Kupplung,13,2,1.0,0.0
Getriebe_01,GE_Verbot_Ausblendung,15,1,1.0,0.0
Getriebe_01,GE_MMom_Soll,16,10,1.0,0.0
Getriebe_01,GE_MMom_Status,26,2,1.0,0.0
Getriebe_01,GE_Freig_Mmom_Soll,28,1,1.0,0.0
Getriebe_01,GE_Status_Schaltablauf,29,3,1.0,0.0
Getriebe_01,GE_MMom_Vorhalt,32,10,1.0,0.0
Getriebe_01,GE_Freig_MMom_Vorhalt,42,1,1.0,0.0
Getriebe_01,GE_KD_Fehler,63,1,1.0,0.0
Getriebe_02,GE_Anf_Zylabsch,13,2,1.0,0.0
Getriebe_02,GE_Synchro_Wunschdrehz,15,9,25.0,0.0
Getriebe_02,GE_Synchro_Zeit,24,8,20.0,0.0
Getriebe_02,GE_Mom_Begr_Gradient,32,8,10.0,0.0
Getriebe_02,GE_Anheb_Solldrehz_Leerlauf,40,8,10.0,0.0
Getriebe_02,GE_Vorsteuermoment,48,9,1.0,0.0
Getriebe_02,GE_Drehzahlmesser_Daempfung,58,1,1.0,0.0
Getriebe_02,GE_Schubabschalt_Unt,59,1,1.0,0.0
Getriebe_02,GE_Freigabe_Synchro,60,1,1.0,0.0
Getriebe_02,GE_HYB_DZ_Eingriff,61,2,1.0,0.0
Getriebe_03,GE_Freig_Langfr_Schutzmom,12,1,1.0,0.0
Getriebe_03,GE_Uefkt,14,10,0.1,0.0
Getriebe_03,GE_Zielgang,24,4,1.0,0.0
Getriebe_03,GE_StartStopp_Info,28,2,1.0,0.0
Getriebe_03,GE_Langfr_Schutzmom,32,10,1.0,0.0
Getriebe_03,GE_reserv_Waehlhebel,43,1,1.0,0.0
Getriebe_03,GE_Waehlhebel,44,4,1.0,0.0
Getriebe_03,GE_Eingangsdrehz,48,14,1.0,0.0
Getriebe_03,GE_Notlauf,62,1,1.0,0.0
Getriebe_03,GE_Codierung_MSG,63,1,1.0,0.0
Getriebe_04,GE_Index_Fahrwid,0,8,0.249,-31.623
Getriebe_04,GE_Heizwunsch,8,2,1.0,0.0
Getriebe_04,GE_OBD_Status,10,1,1.0,0.0
Getriebe_04,GE_LFR_Adaption,11,1,1.0,0.0
Getriebe_04,GE_OBD_AbsperrVent,12,4,1.0,0.0
Getriebe_04,GE_Grenzkriechmoment,16,6,2.0,0.0
Getriebe_04,GE_Charisma_FahrPr,24,3,1.0,0.0
Getriebe_04,GE_Charisma_Status,27,2,1.0,0.0
Getriebe_04,GE_Charisma_Umschaltung,29,2,1.0,0.0
Getriebe_04,GE_Freigabe_Verfallsinfo_WFS,31,1,1.0,0.0
Getriebe_04,GE_Verlustmoment,32,8,1.0,0.0
Getriebe_04,GE_amax_moeglich,42,9,0.024,-2.016
Getriebe_04,GE_Sumpftemperatur,56,8,1.0,-58.0
Waehlhebel_02,WH_KD_Fehler,63,1,1.0,0.0
WBA_01,WBA_WH_Sleep_ACK_alt,7,1,1.0,0.0
WBA_01,GE_Warnung_Auto_N_LB,18,1,1.0,0.0
WBA_01,WBA_GE_Fastshift,19,1,1.0,0.0
WBA_01,WBA_GE_Textmeldungen,21,3,1.0,0.0
