address,name,type,comment
0x00073774,can_tx_pack_Getriebe_01,FUNCTION,"Packs Getriebe_01 (0x082) TX frame @0xfff91c88 + inverted mirror; source @0xfff91c90 (GE_MMom_Soll etc). source=re-trace"
0x000737fc,can_tx_pack_Getriebe_02,FUNCTION,"Packs Getriebe_02 (0x083) TX frame @0xfff91cb0. source=re-trace"
0x00073358,can_tx_pack_WBA_01,FUNCTION,"Packs WBA_01 (0x390) selector-display TX frame @0xfff91e60. source=re-trace"
0x000733c8,can_tx_pack_msg_0x393,FUNCTION,"Packs CAN 0x393 TX frame. source=re-trace"
0x0007346c,can_tx_pack_msg_0x088,FUNCTION,"Packs CAN 0x088 TX frame. source=re-trace"
0x000762d2,can_tx_slot_driver,FUNCTION,"Common TX driver: find slot in table @RAM(0x74b28-equiv) by CAN id, prep, call packer. source=re-trace"
0x00076320,can_tx_slot_driver_alt,FUNCTION,"TX driver variant used by msg_0x088. source=re-trace"
0x00073b88,can_rx_nm_handler,FUNCTION,"Network-management RX handler (reads databuf 0xfff91ae4, alive/counter logic). source=re-trace"
0x00074160,can_rx_unpack_speed3b,FUNCTION,"Unpacks two 24-bit fields from databuf 0xfff82ba9 -> _DAT_fff91adc/_fff91ae0 (wheel/output speeds). source=re-trace"
0x0007407a,can_rx_validate_speed,FUNCTION,"Validates the paired speed fields (plausibility vs flags 0xfff939a7). source=re-trace"
0x00074260,can_rx_get_sig_bd3,FUNCTION,"Signal accessor: DAT_fff91bd3>>2. source=re-trace"
0x00074282,can_rx_get_sig_bf1,FUNCTION,"Signal accessor: DAT_fff91bf1 & 1. source=re-trace"
0x00044760,can_id_master_table,DATA,"Flat u32 CAN-ID table (RX+TX), stride 4, 55 IDs. source=verified (DBC-cross-referenced)"
0x0004248c,can_msg_descriptor_table,DATA,"44x 20-byte {&id,mask,[flag,dlc,flag,flag],handler,msg_index}. source=verified"
0x00044870,can_rx_buffer_table,DATA,"24x 12-byte {flags_ptr,databuf_ptr(0xfff91ae8+),msg_index}. source=verified"
0x00005dd20,can_tx_descriptor_table,DATA,"16-byte TX descriptors, id@+6 dlc@+10. source=verified"
0x00180244,cal_crc32,DATA,"CRC32 over CAL 0x190000..0x1ffd5f (zlib poly). source=verified"
0x001d3000,shift_map_pack_upshift,DATA,"Upshift RPM-ceiling map pack (per-gear throttle->RPM, stock 6300/7500 rpm). ~0x1d3000-0x1e1200. Primary shift-point tuning lever. source=re-trace"
0x00190000,cal_region_start,DATA,"Calibration block header (ZFADINFO ZX8S3600, J217 8R0927158AM). source=verified"
0x001b0c50,torque_limit_maps,DATA,"Input-torque-limit map family (gear/temp-indexed, 250-750 Nm decreasing curves). ~0x1b0000-0x1b2000. Primary max-torque tuning lever. source=re-trace"
0x001d3330,shift_map_pack_sets,DATA,"Shift-map array: each map 0x18C bytes (throttle->upshift RPM, 6300/7500 ceiling), grouped into drive-program sets (0x4a4 gap between sets) selected by CHARISMA. source=re-trace"
0x0005c778,shift_map_registry,DATA,"114-ptr array into shift blocks (stride 0x18C). Part of shift descriptor region 0x5bff0-0x5c9xx. source=re-trace"
0x0005bff0,shift_descriptor_region,DATA,"Shift-map descriptor/pointer tables (per-condition map groups -> 0x1d0000-0x1e2000). source=re-trace"
