address,name,type,comment
0x000259ca,crt0_start,FUNCTION,"Reset entry (jr from vector 0). Sets gp=0xFFFF0000, tp=0x0001A238, sp=0xFFFFEFFC; zeroes .bss; calls the module init chain (CAN init, COM, PLA, ...). source: re-trace."
0x0002929a,can_com_init,FUNCTION,"CAN + COM init (called from crt0). Brings up AFCAN ch1 @500kbps and ch2 @1Mbps via afcan_init_channel, then registers RX PDUs and the PLA/park-assist + supervision layers. source: re-trace."
0x0000ffb6,afcan_cfg_buffer,FUNCTION,"AFCAN driver: configure a message-buffer's control/config regs (0xFFFFFD00 + (buf-1)*0x20) and its acceptance mask (0xfffff1d6/d8). param1=buffer#, param2=cfg flags. source: re-trace."
0x0001024c,afcan_init_channel,FUNCTION,"AFCAN driver: set up one CAN channel (bitrate/clock) and its buffers. Calls afcan_cfg_buffer + FUN_00010040/000100c0. Called twice by can_com_init: ch1 500000bps, ch2 1000000bps. source: re-trace."
0x00018b00,com_pdu_register,FUNCTION,"COM: register one RX PDU into the router. args(pdu_struct, channel, rx_buffer, e2e_data_id, start_bit, size_bits). Stores id@+0xc, startbit@+0xe; flags oversize (>0x7ff bits) invalid. 21 PDUs registered by com_register_rx_pdus. source: re-trace."
0x00018b70,com_pdu_check_fresh,FUNCTION,COM: check whether a registered RX PDU has fresh data (compares stored E2E checksum via e2e_crc). Returns 0 when stale. source: re-trace.
0x00018ccc,com_pdu_unpack,FUNCTION,"COM: unpack a fresh RX PDU from the router byte-stream into its buffer, validating the E2E checksum (e2e_crc). source: re-trace."
0x00018f04,e2e_crc,FUNCTION,COM E2E checksum compute (compared against the frame's CHECKSUM byte on RX). source: re-trace.
0x0002c044,com_register_rx_pdus,FUNCTION,"COM: registers all 21 RX PDUs (16 distinct msgs, several as redundant twins / on both buses) via com_pdu_register into router 0xfffece9c. Buffers 0xfffe8038..0xfffe9190. source: re-trace."
0x0002c4d6,com_process_rx_pdus,FUNCTION,"COM: per-cycle RX processing; fans out to the per-message consumers (com_rx_msg_*), each doing freshness+E2E then unpack. source: re-trace."
0x0002ce4a,msg_supervision_set,FUNCTION,COM: report per-message reception status to the supervision/DTC layer. arg2 = message-group tag (0x02/04/08/20/40/80/100/200). source: re-trace.
0x0002c50c,com_rx_msg_g80,FUNCTION,"RX consumer for the redundant PDU pair -> supervision tag 0x80; picks whichever twin is fresh, unpacks, reports. source: re-trace."
0x0002c5d2,com_rx_msg_g20,FUNCTION,"RX consumer, supervision tag 0x20 (redundant pair). source: re-trace."
0x0002c706,com_rx_msg_g40,FUNCTION,"RX consumer, supervision tag 0x40 (single PDU). source: re-trace."
0x0002c832,com_rx_msg_g100,FUNCTION,"RX consumer, supervision tag 0x100 (redundant pair, small signal). source: re-trace."
0x0002c76e,com_rx_msg_g02,FUNCTION,"RX consumer, supervision tag 0x02 (redundant pair). source: re-trace."
0x0002c8f8,com_rx_msg_g200,FUNCTION,"RX consumer, supervision tag 0x200 (single PDU). source: re-trace."
0x0002c960,com_rx_msg_g04,FUNCTION,"RX consumer, supervision tag 0x04 (redundant pair). source: re-trace."
0x0002ca94,com_rx_msg_g08,FUNCTION,"RX consumer, supervision tag 0x08 (redundant pair). source: re-trace."
0x00031af2,steer_ctrl_statemachine,FUNCTION,CANDIDATE: large (987-line) steering-control state machine (sole caller FUN_0002e52c); reads the cal parameter block iRamfffe9ef4 and mode flags cRamfffee195/198; uses both 9-bit (0x1ff) and 13-bit (0x1fff) request fields. Likely the HCA/PLA request arbitration+limiting. NOT yet fully traced. source: re-trace(partial).
