# ESP8 function entries: 0xADDR,<T|A> (Thumb/ARM). Mixed-ISA RE metadata only.
# Recreated by EspCreateFns.java (sets TMode per Thumb entry) in reproduce.sh.
0x00000000,A
0x00000004,A
0x00000008,A
0x0000000c,A
0x00000012,T
0x0000001c,A
0x00000040,T
0x0000008c,A
0x000001dc,T
0x000001e0,T
0x000001e8,T
0x000001ea,T
0x000001f2,T
0x000001f4,T
0x000001f8,T
0x000001fc,T
0x000001fe,T
0x00000202,T
0x0000020a,T
0x0000020c,T
0x00000212,T
0x0000021c,T
0x0000021e,T
0x00000220,T
0x0000022a,T
0x0000022e,T
0x00000236,T
0x00000238,T
0x0000023e,T
0x00000240,T
0x00000248,T
0x0000024a,T
0x00000250,T
0x00000252,T
0x00000256,T
0x00000258,T
0x0000025a,T
0x00000260,A
0x00000264,T
0x00000266,T
0x0000026a,T
0x00000276,T
0x0000027a,T
0x0000028c,T
0x00000296,T
0x000002aa,T
0x000002ae,T
0x000002b6,T
0x000002be,T
0x000002ce,T
0x000002d6,T
0x000002dc,T
0x000002e0,T
0x000002fc,A
0x00000320,A
0x00000328,A
0x00000338,A
0x00000356,T
0x00000360,A
0x00000374,A
0x00000378,T
0x00000380,T
0x00000384,A
0x0000039c,A
0x000003ae,T
0x000003b6,T
0x000003c2,T
0x000003cc,A
0x000003e8,A
0x00000428,T
0x00000472,T
0x000004cc,T
0x000004dc,T
0x000004fc,T
0x00000506,T
0x0000052c,T
0x00000556,T
0x0000057a,T
0x00000582,T
0x000005d0,T
0x00000620,T
0x0000065c,T
0x00000668,T
0x000006d4,T
0x00000708,T
0x000007a8,T
0x000007fe,A
0x00000862,T
0x000008ce,T
0x0000095c,T
0x0000098a,T
0x00000a18,T
0x00000a92,T
0x00000b58,T
0x00000b8a,T
0x00000bd0,T
0x00000c40,T
0x00000ca6,T
0x00000d0c,T
0x00000e88,T
0x00000eb8,T
0x00000f98,T
0x00000fe0,T
0x000010d4,T
0x00001110,T
0x00001118,T
0x0000113e,T
0x00001198,T
0x000011b4,T
0x000011d2,T
0x00001226,T
0x000012ac,T
0x000012c2,T
0x00001340,T
0x000013cc,T
0x00001454,T
0x000014dc,T
0x00001524,T
0x00001560,T
0x00001598,T
0x000015b0,T
0x000015bc,T
0x000015d0,T
0x0000160c,T
0x00001628,T
0x00001648,A
0x00001654,T
0x00001660,T
0x00001666,T
0x0000166e,T
0x00001672,T
0x00001678,A
0x00001684,T
0x00001690,A
0x0000169c,T
0x000016a8,A
0x000016b4,T
0x000016c0,T
0x000016c4,A
0x000016e8,T
0x000016ec,A
0x000016fc,A
0x00001708,A
0x00001714,T
0x00001718,A
0x0000171c,T
0x00001720,A
0x0000172c,T
0x00001750,T
0x000017e0,T
0x00001804,T
0x00001828,T
0x0000184e,T
0x00001874,T
0x0000189a,T
0x000018c0,T
0x000018e6,T
0x0000190c,T
0x00001932,T
0x00001958,T
0x000019a2,T
0x00001f12,T
0x00002356,T
0x0000252a,T
0x00002576,T
0x000025ca,T
0x00002626,T
0x00002788,T
0x000027fe,T
0x0000289e,T
0x0000292c,T
0x00002b6c,T
0x00002cf4,T
0x00002dc4,T
0x00002f30,A
0x00003068,T
0x0000317c,T
0x000033ac,T
0x00003458,T
0x00003ff0,A
0x00003ffe,T
0x00004002,T
0x0000400c,T
0x00004010,T
0x0000401e,T
0x00004034,T
0x000040f8,T
0x0000411c,T
0x00004148,T
0x0000416c,T
0x00004190,T
0x000041c4,T
0x00004f18,T
0x00005100,T
0x0000525c,T
0x00005bfc,T
0x00006b00,T
0x0000818c,A
0x000081b0,A
0x000091e2,T
0x00009be0,T
0x00009e28,T
0x0000a038,T
0x0000a168,T
0x0000a314,T
0x0000a4ec,T
0x0000a682,T
0x0000a694,T
0x0000a6a6,T
0x0000a6c8,T
0x0000a6ec,T
0x0000a714,T
0x0000a738,T
0x0000a75c,T
0x0000a798,T
0x0000a7d8,T
0x0000a904,A
0x0000dc24,A
0x0000dd84,A
0x0000de8c,A
0x0000df1c,A
0x0000df4c,A
0x0000e164,A
0x0000e1f4,A
0x0000e40c,A
0x0000e498,A
0x0000e550,A
0x0000e55c,A
0x0000e678,A
0x0000e760,A
0x0000e81c,A
0x0000e940,A
0x0000ea28,A
0x0000eab4,A
0x0000ebac,A
0x0000eca0,A
0x0000eda0,A
0x0000eea4,A
0x0000efa0,A
0x0000f0a8,A
0x0000f160,A
0x0000f27c,A
0x0000f33c,A
0x0000f3f8,A
0x0000f51c,A
0x0000f5dc,A
0x0000f668,A
0x0000f720,A
0x0000f83c,A
0x0000f924,A
0x0000f9e0,A
0x0000fb04,A
0x0000fbec,A
0x0000fc78,A
0x0000fd70,A
0x0000fe64,A
0x0000ff64,A
0x00010068,A
0x00010164,A
0x0001026c,A
0x00010324,A
0x00010440,A
0x00010500,A
0x000105bc,A
0x000106e0,A
0x000107a0,A
0x00010964,A
0x00010a10,A
0x00010abc,A
0x00010ae4,A
0x00010cc0,A
0x00010e00,A
0x00010e4c,A
0x00010e60,A
0x00010e78,A
0x00011244,A
0x00011264,A
0x00011388,A
0x000114d4,A
0x00011588,A
0x000115b0,A
0x0001162c,A
0x00011794,A
0x00011824,A
0x00011860,A
0x0001194c,A
0x00012590,A
0x00012cc4,T
0x00012cfc,T
0x00012d38,T
0x0001312c,T
0x00013288,T
0x00013792,T
0x00013910,T
0x00013dd8,T
0x00014000,A
0x0001445e,T
0x00014520,T
0x00014614,T
0x000146c0,A
0x0001491a,T
0x00014aea,T
0x00014afe,T
0x00014b30,T
0x00014b36,T
0x00014b3c,T
0x00014b98,T
0x00014cfc,T
0x00014d18,T
0x00014dec,T
0x00016766,T
0x00016772,T
0x0001678e,T
0x0001691c,A
0x000169a4,A
0x00016a5c,A
0x00016a74,A
0x00016a8c,A
0x00016b1c,A
0x00016b7c,A
0x00016cf4,A
0x00016d14,A
0x00016d8c,A
0x00016e08,A
0x00016e58,A
0x00016efc,A
0x00016fa8,A
0x00017040,A
0x000170a4,A
0x000170c4,A
0x00017208,A
0x00017234,A
0x00017290,A
0x000173e0,A
0x00017460,A
0x0001746c,A
0x00017478,A
0x00017480,A
0x0001749c,A
0x000174f4,A
0x00017b98,A
0x00017c70,A
0x00017cd4,A
0x00017d02,T
0x00017d78,A
0x00017db0,A
0x00017e00,A
0x00017eb4,A
0x00017ecc,A
0x00017f0c,A
0x00017f50,A
0x00017f84,A
0x00017fcc,A
