canid,dbc_name,sender,dir,in_msgcfg,in_cluster,gw_target,routine,state_ram
0x002,,,RX,Y,,,0x91898,0x4048d8
0x003,,,RX,,Y,,,
0x006,,,RX,,Y,,,
0x00b,,,RX,,Y,,,
0x00e,,,RX,Y,,,0x9036c,0x404918
0x021,,,RX,,Y,,,
0x031,,,RX,Y,,,0x8e3ec,0x404868
0x035,,,RX,Y,,,0x8e3ec,0x404870
0x036,,,RX,Y,,,0x8e3ec,0x40487c
0x037,,,RX,Y,,,0x8e3ec,0x404878
0x038,,,RX,Y,,,0x8e3ec,0x40486c
0x039,,,RX,Y,,,0x8e3ec,0x404880
0x03a,,,RX,Y,,,0x8e3ec,0x404874
0x045,,,RX,,Y,,,
0x049,,,RX,,Y,,,
0x04d,,,RX,,Y,,,
0x04f,,,RX,Y,,,0x908d4,0x4048fc
0x052,,,RX,,Y,,,
0x053,,,RX,Y,,,0x8e3ec,0x404864
0x054,,,RX,,Y,,,
0x065,,,RX,,Y,,,
0x066,,,RX,,Y,,,
0x067,,,RX,,Y,,,
0x068,,,RX,,Y,,,
0x069,,,RX,,Y,,,
0x06b,,,RX,,Y,,,
0x06c,,,RX,,Y,,,
0x06d,,,RX,,Y,,,
0x06f,,,RX,Y,,,0x9036c,0x404910
0x070,,,RX,,Y,,,
0x074,,,RX,,Y,,,
0x075,,,RX,,Y,,,
0x076,,,RX,,Y,,,
0x078,,,RX,,Y,,,
0x07b,,,RX,,Y,,,
0x080,Motor_01,Motor_EDC17_D4,RX,,Y,,,
0x081,Motor_02,Motor_EDC17_D4,RX,,Y,,,
0x082,Getriebe_01,Getriebe_AL551_951_D4_C7,RX,,Y,,,
0x083,Getriebe_02,Getriebe_AL551_951_D4_C7,RX,,Y,,,
0x085,SCU_01,SCU_D4,RX,,Y,,,
0x090,,,RX,,Y,,,
0x092,,,RX,,Y,,,
0x093,,,RX,Y,,,0x91898,0x4048e0
0x094,,,RX,Y,,,0x9036c,0x404908
0x096,,,RX,,Y,,,
0x098,,,RX,Y,,,0x8e3ec,0x404894
0x099,,,RX,Y,,,0x8e3ec,0x404890
0x09a,,,RX,Y,,,0x8e3ec,0x404898
0x09b,,,RX,,Y,,,
