table,pdu_grp,sig_id,len_bits,flags,ram_buffer,extra,note
sig_0xb038c,,0x0018,8,0x00,0x00408f94,consumer=0x00087aa5,
sig_0xb038c,,0x046f,4,0x03,0x00408f10,consumer=0x000975e1,
sig_0xb038c,,0x04ab,1,0x01,0x004079da,consumer=0x000a83fb,
sig_0xb038c,,0x049a,2,0x01,0x004058dc,consumer=0x000975d5,
sig_0xb038c,,0x00f6,2,0x01,0x00405366,consumer=0x0009768b,
sig_0xb038c,,0x00f2,2,0x01,0x0040919c,consumer=0x00097667,
sig_0xb038c,,0x04d4,1,0x03,0x0040865c,consumer=0x000a83e9,
sig_0xb038c,,0x02bb,4,0x00,0x00407d45,consumer=0x00000000,
sig_0xb038c,,0x026b,77,0x00,0x00407d50,consumer=0x00000000,
sig_0xb038c,,0x02d3,4,0x00,0x00408389,consumer=0x00000000,
sig_0xb038c,,0x02bf,17,0x00,0x0040834c,consumer=0x00000000,
sig_0xb038c,,0x07eb,2,0x01,0x0040581a,consumer=0x0001e8db,
sig_0xb038c,,0x04a8,1,0x01,0x004079db,consumer=0x000a83d1,
sig_0xb038c,,0x0403,1,0x01,0x004079dc,consumer=0x000a83dd,
sig_0xb038c,,0x0497,1,0x01,0x004079de,consumer=0x000976b1,
sig_0xb038c,,0x047b,4,0x01,0x00408f0c,consumer=0x00097617,
sig_0xb038c,,0x04b6,4,0x03,0x00408f18,consumer=0x00097611,
sig_0xb038c,,0x0034,4,0x00,0x004092bc,consumer=0x0009ddcd,
sig_0xb038c,,0x07ef,2,0x01,0x0040581c,consumer=0x0001e8e9,
sig_0xb038c,,0x07f3,1,0x01,0x004057fe,consumer=0x0001e8cd,
sig_0xb038c,,0x07f6,5,0x01,0x0040582c,consumer=0x0001e839,
sig_0xb038c,,0x0010,2,0x03,0x00408658,consumer=0x0009f4ef,
sig_0xb038c,,0x03b9,1,0x01,0x0040872c,consumer=0x000975ad,
sig_0xb038c,,0x07d8,1,0x01,0x00405802,consumer=0x0001e887,
sig_0xb038c,,0x07ae,1,0x01,0x004057ff,consumer=0x0001e895,
sig_0xb038c,,0x07db,2,0x01,0x00405812,consumer=0x0001e879,
sig_0xb038c,,0x07df,2,0x01,0x00405814,consumer=0x0001e86b,
sig_0xb038c,,0x07e3,2,0x01,0x00405816,consumer=0x0001e85d,
sig_0xb038c,,0x07e7,2,0x01,0x00405818,consumer=0x0001e84f,
sig_0xb038c,,0x07fd,1,0x01,0x00405808,consumer=0x0001e8ad,
sig_0xb038c,,0x02d7,1,0x01,0x00408e8c,consumer=0x0009765b,
sig_0xb038c,,0x03bc,26,0x01,0x00407cf0,consumer=0x00097643,
sig_0xb038c,,0x03d8,26,0x01,0x00407d0a,consumer=0x0009762b,
sig_0xb038c,,0x004f,8,0x01,0x00407ce8,consumer=0x0009764f,
sig_0xb038c,,0x03f4,6,0x01,0x00407ce2,consumer=0x00097637,
sig_0xb038c,,0x038f,1,0x03,0x0040943d,consumer=0x0009767f,
sig_0xb038c,,0x0301,6,0x03,0x00409431,consumer=0x00097673,
sig_0xb038c,,0x0311,4,0x01,0x0040680c,consumer=0x0008b8a1,
sig_0xb038c,,0x0317,4,0x01,0x00406810,consumer=0x0008b875,
sig_0xb038c,,0x031d,10,0x01,0x00406814,consumer=0x0008b797,
sig_0xb038c,,0x0329,2,0x01,0x0040681e,consumer=0x0008b75f,
sig_0xb038c,,0x032d,2,0x01,0x00406820,consumer=0x0008b747,
sig_0xb038c,,0x0331,12,0x01,0x00406800,consumer=0x0008b719,
sig_0xb038c,,0x033f,2,0x01,0x00407ac8,consumer=0x000a7b35,
sig_0xb038c,,0x0343,2,0x01,0x00407aca,consumer=0x000a7b11,
sig_0xb038c,,0x0347,6,0x01,0x00406950,consumer=0x000a27af,
sig_0xb038c,,0x034f,2,0x03,0x00406956,consumer=0x000a279d,
sig_0xb038c,,0x0357,8,0x01,0x004068a6,consumer=0x0007d777,
sig_0xb038c,,0x037f,2,0x01,0x00403fa2,consumer=0x000a846b,type1 COM input (0x403fa2/0x403fd4)
sig_0xb038c,,0x0383,4,0x03,0x00403fd4,consumer=0x000a8459,type1 COM input (0x403fa2/0x403fd4)
sig_0xb038c,,0x0361,8,0x01,0x004068ae,consumer=0x0007d731,
sig_0xb038c,,0x036b,8,0x01,0x004068b6,consumer=0x0007d6eb,
sig_0xb038c,,0x0375,8,0x01,0x004068be,consumer=0x0007d6a5,
pdu_0xb06f0,0xff,0x04ab,1,0x01,0x004079da,idx=0x1b,
pdu_0xb06f0,0xff,0x0481,6,0x01,0x00407a10,idx=0x1c,
pdu_0xb06f0,0xff,0x049a,2,0x01,0x004058dc,idx=0x1d,
pdu_0xb06f0,0xff,0x00f2,2,0x01,0x0040919c,idx=0x1e,
pdu_0xb06f0,0xff,0x04d4,1,0x03,0x0040865c,idx=0x1f,
pdu_0xb06f0,0xff,0x0466,4,0x01,0x00407a0c,idx=0x20,
pdu_0xb06f0,0xff,0x04a8,1,0x01,0x004079db,idx=0x21,
pdu_0xb06f0,0xff,0x04ae,6,0x01,0x00407a10,idx=0x22,
pdu_0xb06f0,0xff,0x0403,1,0x01,0x004079dc,idx=0x23,
pdu_0xb06f0,0xff,0x04b6,4,0x03,0x00408f18,idx=0x24,
pdu_0xb06f0,0xff,0x04c7,11,0x01,0x00407a18,idx=0x25,
pdu_0xb06f0,0xff,0x04c2,3,0x01,0x00407a08,idx=0x26,
pdu_0xb06f0,0xff,0x0437,1,0x01,0x00407a04,idx=0x27,
pdu_0xb06f0,0xff,0x03bc,26,0x01,0x00407cf0,idx=0x28,
pdu_0xb06f0,0xff,0x03d8,26,0x01,0x00407d0a,idx=0x29,
pdu_0xb06f0,0xff,0x004f,8,0x01,0x00407ce8,idx=0x2a,type4/ANB COM input
pdu_0xb06f0,0xff,0x03f4,6,0x01,0x00407ce2,idx=0x2b,
pdu_0xb06f0,0x02,0x0301,6,0x03,0x00409431,idx=0x2,
pdu_0xb06f0,0x02,0x0311,4,0x01,0x0040680c,idx=0x3,
pdu_0xb06f0,0x02,0x0317,4,0x01,0x00406810,idx=0x4,
pdu_0xb06f0,0x02,0x031d,10,0x01,0x00406814,idx=0x5,
pdu_0xb06f0,0x02,0x0329,2,0x01,0x0040681e,idx=0x6,
pdu_0xb06f0,0x02,0x032d,2,0x01,0x00406820,idx=0x7,
pdu_0xb06f0,0x02,0x0331,12,0x01,0x00406800,idx=0x8,
pdu_0xb06f0,0x02,0x033f,2,0x01,0x00407ac8,idx=0x9,
pdu_0xb06f0,0x02,0x0343,2,0x01,0x00407aca,idx=0xa,
pdu_0xb06f0,0x02,0x0347,6,0x01,0x00406950,idx=0xc,
pdu_0xb06f0,0x02,0x034f,2,0x03,0x00406956,idx=0xd,
pdu_0xb06f0,0x02,0x0357,8,0x01,0x004068a6,idx=0x10,
pdu_0xb06f0,0x02,0x037f,2,0x01,0x00403fa2,idx=0xe,"type1 decel COM input; PDU grp0x02=17sig front-sensor, NOT EPB"
pdu_0xb06f0,0x02,0x0383,4,0x03,0x00403fd4,idx=0xf,"type1 decel COM input; PDU grp0x02=17sig front-sensor, NOT EPB"
pdu_0xb06f0,0x02,0x0361,8,0x01,0x004068ae,idx=0x18,
pdu_0xb06f0,0x02,0x036b,8,0x01,0x004068b6,idx=0x19,
pdu_0xb06f0,0x02,0x0375,8,0x01,0x004068be,idx=0x1a,
