# ESP8 8R0907379BG - flash COM signal->buffer table (STATIC, software-recovered, no bench)
# stride 0x10: {marker=0x01000000 @+0, sig_id u16 @+4, len u8 @+6, flags u8 @+7, RAM_buffer u32 @+8, extraction_link u32 @+c}
# 43 records @ flash 0xb03fc..0xb06cc. RAM_buffer = COM deposit target for this signal.
#
flash_off   sig_id  len  flags  RAM_buffer   extraction_link
0x0b03fc   0x02bb    4   0x00   0x00407d45   0x0
0x0b041c   0x02d3    4   0x00   0x00408389   0x0
0x0b042c   0x02bf   17   0x00   0x0040834c   0x0
0x0b043c   0x07eb    2   0x01   0x0040581a   0x1e8db
0x0b044c   0x04a8    1   0x01   0x004079db   0xa83d1
0x0b045c   0x0403    1   0x01   0x004079dc   0xa83dd
0x0b046c   0x0497    1   0x01   0x004079de   0x976b1
0x0b047c   0x047b    4   0x01   0x00408f0c   0x97617
0x0b048c   0x04b6    4   0x03   0x00408f18   0x97611
0x0b049c   0x0034    4   0x00   0x004092bc   0x9ddcd
0x0b04ac   0x07ef    2   0x01   0x0040581c   0x1e8e9
0x0b04bc   0x07f3    1   0x01   0x004057fe   0x1e8cd
0x0b04cc   0x07f6    5   0x01   0x0040582c   0x1e839
0x0b04dc   0x0010    2   0x03   0x00408658   0x9f4ef
0x0b04ec   0x03b9    1   0x01   0x0040872c   0x975ad
0x0b04fc   0x07d8    1   0x01   0x00405802   0x1e887
0x0b050c   0x07ae    1   0x01   0x004057ff   0x1e895
0x0b051c   0x07db    2   0x01   0x00405812   0x1e879
0x0b052c   0x07df    2   0x01   0x00405814   0x1e86b
0x0b053c   0x07e3    2   0x01   0x00405816   0x1e85d
0x0b054c   0x07e7    2   0x01   0x00405818   0x1e84f
0x0b055c   0x07fd    1   0x01   0x00405808   0x1e8ad
0x0b056c   0x02d7    1   0x01   0x00408e8c   0x9765b
0x0b057c   0x03bc   26   0x01   0x00407cf0   0x97643
0x0b058c   0x03d8   26   0x01   0x00407d0a   0x9762b
0x0b059c   0x004f    8   0x01   0x00407ce8   0x9764f
0x0b05ac   0x03f4    6   0x01   0x00407ce2   0x97637
0x0b05bc   0x038f    1   0x03   0x0040943d   0x9767f
0x0b05cc   0x0301    6   0x03   0x00409431   0x97673
0x0b05dc   0x0311    4   0x01   0x0040680c   0x8b8a1
0x0b05ec   0x0317    4   0x01   0x00406810   0x8b875
0x0b05fc   0x031d   10   0x01   0x00406814   0x8b797
0x0b060c   0x0329    2   0x01   0x0040681e   0x8b75f
0x0b061c   0x032d    2   0x01   0x00406820   0x8b747
0x0b062c   0x0331   12   0x01   0x00406800   0x8b719
0x0b063c   0x033f    2   0x01   0x00407ac8   0xa7b35
0x0b064c   0x0343    2   0x01   0x00407aca   0xa7b11
0x0b065c   0x0347    6   0x01   0x00406950   0xa27af
0x0b066c   0x034f    2   0x03   0x00406956   0xa279d
0x0b067c   0x0357    8   0x01   0x004068a6   0x7d777
0x0b06ac   0x0361    8   0x01   0x004068ae   0x7d731
0x0b06bc   0x036b    8   0x01   0x004068b6   0x7d6eb
0x0b06cc   0x0375    8   0x01   0x004068be   0x7d6a5
