id,dbc_name,dlc,dbc_sender,ESP8_Q5,C7_0190,C7_0361,ESP9_AD
0x40,Airbag_01,8,Airbag_D4,Y,Y,Y,Y
0x80,Motor_01,8,Motor_EDC17_D4,Y,,,
0x81,Motor_02,8,Motor_EDC17_D4,Y,Y,,
0x82,Getriebe_01,8,Getriebe_AL551_951_D4_C7,Y,Y,Y,
0x83,Getriebe_02,8,Getriebe_AL551_951_D4_C7,Y,Y,Y,
0x84,ESP_06,8,ESP_D4,,Y,Y,Y
0x85,SCU_01,8,SCU_D4,Y,Y,Y,
0x86,LWI_01,8,LWS_D4,Y,Y,Y,
0x9f,LH_EPS_03,8,XXX,,Y,Y,
0x100,ESP_01,8,Gateway_D4C7,Y,,,Y
0x101,ESP_02,8,Gateway_D4C7,Y,,,Y
0x102,Getriebe_03,8,Getriebe_AL551_951_D4_C7,Y,Y,,Y
0x103,ESP_03,8,Gateway_D4C7,Y,Y,Y,Y
0x104,EPB_01,8,EPB_D4,Y,Y,Y,Y
0x105,Motor_03,8,Motor_EDC17_D4,Y,Y,Y,Y
0x106,ESP_05,8,Gateway_D4C7,Y,Y,Y,Y
0x107,Motor_04,8,Motor_EDC17_D4,Y,Y,Y,Y
0x109,ACC_01,8,Gateway_B8,Y,Y,Y,Y
0x10a,TSK_01,8,Motor_MLB_AU48_AU416_Diesel,Y,Y,Y,Y
0x10b,LS_01,4,Gateway_D4C7,Y,Y,Y,
0x10c,TSK_02,8,Motor_MLB_AU48_AU416_Diesel,Y,Y,Y,
0x10d,ACC_05,8,Gateway_D4C7,Y,Y,Y,
0x10e,TSK_04,8,Motor_EDC17_D4,Y,Y,Y,
0x111,TSK_05,8,Motor_EDC17_D4,Y,Y,Y,Y
0x114,Motor_10,8,Motor_EDC17_D4,Y,,Y,Y
0x117,ACC_10,8,XXX,,,,Y
0x11d,LH_EPS_02,8,Gateway_D4C7,,,,Y
0x11e,ESP_08,8,Vector__XXX,,,,Y
0x126,HCA_01,8,Frontsensorik,Y,,,
0x1e1,CCP_MOS_CRO_01,8,Gateway_D4C7,Y,,,
0x1e8,CCP_MO_DTO_01,8,Motor_EDC17_D4,Y,,,
0x21e,TPS_SCU,7,SCU_D4,Y,,,
