image_a,off_a,image_b,off_b,len,delta
8R0907379BG,0xb47fc,4G0907379H_0361,0x15a8a4,275,0xa60a8
8R0907379BG,0x105a1d,4G0907379H_0361,0x15a7a4,261,0x54d87
8R0907379BG,0x1056b1,4G0907379H_0361,0x15a6a0,260,0x54fef
8R0907379BG,0x105b21,4G0907379H_0361,0x15aaa8,256,0x54f87
8R0907379BG,0x10509c,4G0907379H_0361,0x15b613,240,0x56577
8R0907379BG,0x104fb9,4G0907379H_0361,0x15b6f8,237,0x5673f
8R0907379BG,0x104ed5,4G0907379H_0361,0x15b44c,229,0x56577
8R0907379BG,0x104df1,4G0907379H_0361,0x15b7dc,228,0x569eb
8R0907379BG,0x105181,4G0907379H_0361,0x15b368,228,0x561e7
8R0907379BG,0xd7e1d,4G0907379H_0361,0x141ac0,182,0x69ca3
8R0907379BG,0x10596d,4G0907379H_0361,0x15c4a4,178,0x56b37
8R0907379BG,0x1057d5,4G0907379H_0361,0x15bdc0,167,0x565eb
8R0907379BG,0x1058d6,4G0907379H_0361,0x15bd29,152,0x56453
8R0907379BG,0xd8e43,4G0907379H_0361,0x143426,117,0x6a5e3
8R0907379BG,0xdcad1,4G0907379H_0361,0x148054,104,0x6b583
8R0907379BG,0xffc12,4G0907379H_0361,0x1026a5,97,0x2a93
8R0907379BG,0x105644,4G0907379H_0361,0x160e57,97,0x5b813
8R0907379BG,0xd85ad,4G0907379H_0361,0x143008,88,0x6aa5b
8R0907379BG,0x101711,4G0907379H_0361,0x104e18,82,0x3707
8R0907379BG,0xd0421,4G0907379H_0361,0x13ac04,76,0x6a7e3
8R0907379BG,0xd7b44,4G0907379H_0361,0x142787,73,0x6ac43
8R0907379BG,0x100fed,4G0907379H_0361,0x1063e4,71,0x53f7
8R0907379BG,0x1058a1,4G0907379H_0361,0x15bcf4,67,0x56453
8R0907379BG,0xfcb69,4G0907379H_0361,0x101108,66,0x459f
8R0907379BG,0x103671,4G0907379H_0361,0x1162f4,66,0x12c83
8R0907379BG,0xd7b01,4G0907379H_0361,0x142744,64,0x6ac43
8R0907379BG,0xd8609,4G0907379H_0361,0x143064,64,0x6aa5b
8R0907379BG,0xd90dd,4G0907379H_0361,0x1440f8,56,0x6b01b
8R0907379BG,0x1029c1,4G0907379H_0361,0x1116e0,55,0xed1f
8R0907379BG,0x102bd1,4G0907379H_0361,0x111c6c,55,0xf09b
8R0907379BG,0xd2b45,4G0907379H_0361,0x13c34c,54,0x69807
8R0907379BG,0xfd9c9,4G0907379H_0361,0x1083dc,54,0xaa13
8R0907379BG,0xffc81,4G0907379H_0361,0x102714,54,0x2a93
8R0907379BG,0xfc3d7,4G0907379H_0361,0x100f6e,53,0x4b97
8R0907379BG,0xd908d,4G0907379H_0361,0x1440a8,52,0x6b01b
8R0907379BG,0xd0331,4G0907379H_0361,0x13ab14,51,0x6a7e3
8R0907379BG,0xff4b5,4G0907379H_0361,0x10252c,50,0x3077
8R0907379BG,0x1036b5,4G0907379H_0361,0x116338,50,0x12c83
8R0907379BG,0xd1489,4G0907379H_0361,0x13a860,48,0x693d7
8R0907379BG,0xfb4b9,4G0907379H_0361,0xff628,48,0x416f
8R0907379BG,0x100eab,4G0907379H_0361,0x1062ae,47,0x5403
8R0907379BG,0xd9ab7,4G0907379H_0361,0x144946,46,0x6ae8f
8R0907379BG,0x104ce7,4G0907379H_0361,0x1590b2,46,0x543cb
8R0907379BG,0xd03cd,4G0907379H_0361,0x13abb0,44,0x6a7e3
8R0907379BG,0xd13a5,4G0907379H_0361,0x13a77c,44,0x693d7
8R0907379BG,0xfc421,4G0907379H_0361,0x100fac,44,0x4b8b
8R0907379BG,0xfe3ed,4G0907379H_0361,0x108e04,44,0xaa17
8R0907379BG,0xfead3,4G0907379H_0361,0x103492,44,0x49bf
8R0907379BG,0xff171,4G0907379H_0361,0x1028c4,44,0x3753
8R0907379BG,0x103179,4G0907379H_0361,0x111a9c,44,0xe923
8R0907379BG,0x102801,4G0907379H_0361,0x111c28,43,0xf427
8R0907379BG,0x104c2c,4G0907379H_0361,0x158ff7,43,0x543cb
8R0907379BG,0xc71df,4G0907379H_0361,0x129bfc,42,0x62a1d
8R0907379BG,0xfc325,4G0907379H_0361,0x100ebc,41,0x4b97
8R0907379BG,0x102b55,4G0907379H_0361,0x111a3c,41,0xeee7
8R0907379BG,0xd1355,4G0907379H_0361,0x13a72c,40,0x693d7
8R0907379BG,0xfcbad,4G0907379H_0361,0x10114c,40,0x459f
8R0907379BG,0xffffd,4G0907379H_0361,0x1028f0,40,0x28f3
8R0907379BG,0x1042d9,4G0907379H_0361,0x114d68,40,0x10a8f
8R0907379BG,0x104c63,4G0907379H_0361,0x15902e,40,0x543cb
8R0907379BG,0x104c89,4G0907379H_0361,0x159054,40,0x543cb
8R0907379BG,0xfc382,4G0907379H_0361,0x100f19,39,0x4b97
8R0907379BG,0x1017d4,4G0907379H_0361,0x10514b,39,0x3977
8R0907379BG,0x102775,4G0907379H_0361,0x111d20,39,0xf5ab
8R0907379BG,0x104cb9,4G0907379H_0361,0x159084,39,0x543cb
8R0907379BG,0x1052c1,4G0907379H_0361,0x12fca4,39,0x2a9e3
8R0907379BG,0xd0289,4G0907379H_0361,0x13aaa0,38,0x6a817
8R0907379BG,0x10355d,4G0907379H_0361,0x11644c,38,0x12eef
8R0907379BG,0x104b81,4G0907379H_0361,0x15ca00,38,0x57e7f
8R0907379BG,0xfee89,4G0907379H_0361,0x102fc8,37,0x413f
8R0907379BG,0x1005e9,4G0907379H_0361,0x1059d8,37,0x53ef
8R0907379BG,0x101b11,4G0907379H_0361,0x10ea60,37,0xcf4f
8R0907379BG,0xd13d5,4G0907379H_0361,0x13a7ac,36,0x693d7
8R0907379BG,0xd14bd,4G0907379H_0361,0x13a894,36,0x693d7
8R0907379BG,0xfc348,4G0907379H_0361,0x100edf,36,0x4b97
8R0907379BG,0x102b95,4G0907379H_0361,0x1112c8,36,0xe733
8R0907379BG,0x105621,4G0907379H_0361,0x161524,36,0x5bf03
8R0907379BG,0x105cbd,4G0907379H_0361,0x160d30,36,0x5b073
8R0907379BG,0x112ac9,4G0907379H_0361,0x1547a6,36,0x41cdd
8R0907379BG,0xd03fd,4G0907379H_0361,0x13abe0,35,0x6a7e3
8R0907379BG,0xf99b5,4G0907379H_0361,0x100248,35,0x6893
8R0907379BG,0xfc3a1,4G0907379H_0361,0x100f38,35,0x4b97
8R0907379BG,0x103259,4G0907379H_0361,0x111ac4,35,0xe86b
8R0907379BG,0x10438c,4G0907379H_0361,0x115733,35,0x113a7
8R0907379BG,0x104d2a,4G0907379H_0361,0x1590f5,35,0x543cb
8R0907379BG,0xd2a35,4G0907379H_0361,0x13c224,34,0x697ef
8R0907379BG,0xfc897,4G0907379H_0361,0x10188a,34,0x4ff3
8R0907379BG,0xfcda9,4G0907379H_0361,0x1013a8,33,0x45ff
8R0907379BG,0x104bd7,4G0907379H_0361,0x15ca56,33,0x57e7f
8R0907379BG,0x104d8a,4G0907379H_0361,0x159155,33,0x543cb
8R0907379BG,0x104dc1,4G0907379H_0361,0x15918c,33,0x543cb
8R0907379BG,0xbbfd5,4G0907379H_0361,0x1117e0,32,0x5580b
8R0907379BG,0xd02e4,4G0907379H_0361,0x13aacf,32,0x6a7eb
8R0907379BG,0xd1381,4G0907379H_0361,0x13a758,32,0x693d7
8R0907379BG,0xd13fd,4G0907379H_0361,0x13a7d4,32,0x693d7
8R0907379BG,0xdabc1,4G0907379H_0361,0x145b04,32,0x6af43
8R0907379BG,0x102bb5,4G0907379H_0361,0x111a7c,32,0xeec7
8R0907379BG,0x10320d,4G0907379H_0361,0x111d84,32,0xeb77
8R0907379BG,0x10493f,4G0907379H_0361,0x15c3f2,32,0x57ab3
8R0907379BG,0x10496d,4G0907379H_0361,0x15c420,32,0x57ab3
8R0907379BG,0x10499b,4G0907379H_0361,0x15c44e,32,0x57ab3
8R0907379BG,0x1049c9,4G0907379H_0361,0x15c47c,32,0x57ab3
8R0907379BG,0x104d57,4G0907379H_0361,0x159122,32,0x543cb
8R0907379BG,0xb5ac1,4G0907379H_0361,0x1647ab,31,0xaecea
8R0907379BG,0xfb48d,4G0907379H_0361,0xfea40,31,0x35b3
8R0907379BG,0xfc369,4G0907379H_0361,0x100f00,31,0x4b97
8R0907379BG,0xff2c5,4G0907379H_0361,0x101cf0,31,0x2a2b
8R0907379BG,0xff92b,4G0907379H_0361,0x102422,31,0x2af7
8R0907379BG,0x104bb0,4G0907379H_0361,0x15ca2f,31,0x57e7f
8R0907379BG,0xd2b05,4G0907379H_0361,0x13c304,30,0x697ff
8R0907379BG,0xd2b25,4G0907379H_0361,0x13c328,30,0x69803
8R0907379BG,0xfb841,4G0907379H_0361,0x100d58,30,0x5517
8R0907379BG,0xfe431,4G0907379H_0361,0x108e48,30,0xaa17
8R0907379BG,0x1005b8,4G0907379H_0361,0x1059a7,30,0x53ef
8R0907379BG,0x100f1b,4G0907379H_0361,0x10631e,30,0x5403
8R0907379BG,0x102d81,4G0907379H_0361,0x1117c0,30,0xea3f
8R0907379BG,0x104a0d,4G0907379H_0361,0x15d0e0,30,0x586d3
8R0907379BG,0x104a4d,4G0907379H_0361,0x15d120,30,0x586d3
8R0907379BG,0x100e79,4G0907379H_0361,0x106280,29,0x5407
8R0907379BG,0x1027b9,4G0907379H_0361,0x111bdc,29,0xf423
8R0907379BG,0x1048a2,4G0907379H_0361,0x115385,29,0x10ae3
8R0907379BG,0xd143d,4G0907379H_0361,0x13a814,28,0x693d7
8R0907379BG,0xd864d,4G0907379H_0361,0x1430a8,28,0x6aa5b
8R0907379BG,0xd9145,4G0907379H_0361,0x144160,28,0x6b01b
8R0907379BG,0x10387d,4G0907379H_0361,0x116604,28,0x12d87
8R0907379BG,0x104a2e,4G0907379H_0361,0x15d101,28,0x586d3
8R0907379BG,0x104a95,4G0907379H_0361,0x15bc4c,28,0x571b7
8R0907379BG,0x104ab7,4G0907379H_0361,0x15bc6e,28,0x571b7
8R0907379BG,0x104ad9,4G0907379H_0361,0x15bc90,28,0x571b7
8R0907379BG,0x105c29,4G0907379H_0361,0x160a58,28,0x5ae2f
8R0907379BG,0xb1e30,4G0907379H_0361,0x1589ec,27,0xa6bbc
8R0907379BG,0xd03b1,4G0907379H_0361,0x13ab94,27,0x6a7e3
8R0907379BG,0xfc8ef,4G0907379H_0361,0x1018e2,27,0x4ff3
8R0907379BG,0x1042a9,4G0907379H_0361,0x114d38,27,0x10a8f
8R0907379BG,0x104709,4G0907379H_0361,0x1151c8,27,0x10abf
8R0907379BG,0x104800,4G0907379H_0361,0x1152cf,27,0x10acf
8R0907379BG,0xb1e0b,4G0907379H_0361,0x1589b3,26,0xa6ba8
8R0907379BG,0xce1f9,4G0907379H_0361,0x135904,26,0x6770b
8R0907379BG,0xff45d,4G0907379H_0361,0x1024d0,26,0x3073
8R0907379BG,0xff479,4G0907379H_0361,0x1024ec,26,0x3073
8R0907379BG,0x100e4d,4G0907379H_0361,0x106254,26,0x5407
8R0907379BG,0x102c4d,4G0907379H_0361,0x1112a8,26,0xe65b
8R0907379BG,0x104601,4G0907379H_0361,0x1150a8,26,0x10aa7
8R0907379BG,0x1049f0,4G0907379H_0361,0x15d0c3,26,0x586d3
8R0907379BG,0x104a74,4G0907379H_0361,0x15bc2b,26,0x571b7
8R0907379BG,0xa2423,4G0907379H_0361,0x14b147,25,0xa8d24
8R0907379BG,0xa5e80,4G0907379H_0361,0x1634b4,25,0xbd634
8R0907379BG,0xbfd2c,4G0907379H_0361,0x141b67,25,0x81e3b
8R0907379BG,0xfc887,4G0907379H_0361,0x10187a,25,0x4ff3
8R0907379BG,0xff0ad,4G0907379H_0361,0x1031ec,25,0x413f
8R0907379BG,0xff8ad,4G0907379H_0361,0x1023bc,25,0x2b0f
8R0907379BG,0x1027da,4G0907379H_0361,0x111bfd,25,0xf423
8R0907379BG,0x10385d,4G0907379H_0361,0x1165e4,25,0x12d87
8R0907379BG,0xb1e3c,4G0907379H_0361,0x158ac8,24,0xa6c8c
8R0907379BG,0xb58cc,4G0907379H_0361,0x1617cc,24,0xabf00
8R0907379BG,0xd1421,4G0907379H_0361,0x13a7f8,24,0x693d7
8R0907379BG,0xd145d,4G0907379H_0361,0x13a834,24,0x693d7
8R0907379BG,0xd7e01,4G0907379H_0361,0x141aa8,24,0x69ca7
8R0907379BG,0xd866d,4G0907379H_0361,0x1430c8,24,0x6aa5b
8R0907379BG,0xd868a,4G0907379H_0361,0x1430e5,24,0x6aa5b
8R0907379BG,0x100c55,4G0907379H_0361,0x106038,24,0x53e3
8R0907379BG,0xd0365,4G0907379H_0361,0x13ab48,23,0x6a7e3
8R0907379BG,0xd1fc1,4G0907379H_0361,0x14a494,23,0x784d3
8R0907379BG,0xfe278,4G0907379H_0361,0x108fa7,23,0xad2f
8R0907379BG,0x101961,4G0907379H_0361,0x10f4c8,23,0xdb67
8R0907379BG,0x101b4a,4G0907379H_0361,0x10ea99,23,0xcf4f
8R0907379BG,0x1027e8,4G0907379H_0361,0x111c0b,23,0xf423
8R0907379BG,0x102b75,4G0907379H_0361,0x111a5c,23,0xeee7
8R0907379BG,0x105cf5,4G0907379H_0361,0x16115c,23,0x5b467
8R0907379BG,0xd7e1d,4G0907379_0190,0x12ecb4,182,0x56e97
8R0907379BG,0xd8e43,4G0907379_0190,0x130a1a,117,0x57bd7
8R0907379BG,0xdcad1,4G0907379_0190,0x1355b4,104,0x58ae3
8R0907379BG,0x100fe5,4G0907379_0190,0xf24c0,91,-0xeb25
8R0907379BG,0xd85ad,4G0907379_0190,0x1306f0,88,0x58143
8R0907379BG,0x101711,4G0907379_0190,0xf165c,82,-0x100b5
8R0907379BG,0xd0421,4G0907379_0190,0x128038,76,0x57c17
8R0907379BG,0xd7b44,4G0907379_0190,0x12fb77,73,0x58033
8R0907379BG,0xfcb69,4G0907379_0190,0xf41f4,66,-0x8975
8R0907379BG,0x103671,4G0907379_0190,0x107120,66,0x3aaf
8R0907379BG,0xd7b01,4G0907379_0190,0x12fb34,64,0x58033
8R0907379BG,0xd8609,4G0907379_0190,0x13074c,64,0x58143
8R0907379BG,0xd90dd,4G0907379_0190,0x131518,56,0x5843b
8R0907379BG,0x102bd1,4G0907379_0190,0x101790,55,-0x1441
8R0907379BG,0xd2b45,4G0907379_0190,0x1295c0,54,0x56a7b
8R0907379BG,0xfd9c9,4G0907379_0190,0xf8f2c,54,-0x4a9d
8R0907379BG,0xfc3d7,4G0907379_0190,0xf3802,53,-0x8bd5
8R0907379BG,0xd908d,4G0907379_0190,0x1314c8,52,0x5843b
8R0907379BG,0xd0331,4G0907379_0190,0x127f48,51,0x57c17
8R0907379BG,0xff4b5,4G0907379_0190,0xf4d20,50,-0xa795
8R0907379BG,0x1036b5,4G0907379_0190,0x107164,50,0x3aaf
8R0907379BG,0xd1489,4G0907379_0190,0x127c94,48,0x5680b
8R0907379BG,0xfb4b9,4G0907379_0190,0xefd4c,48,-0xb76d
8R0907379BG,0xff171,4G0907379_0190,0xf4784,47,-0xa9ed
8R0907379BG,0x100eab,4G0907379_0190,0xf238a,47,-0xeb21
8R0907379BG,0xd9ab7,4G0907379_0190,0x131bae,46,0x580f7
8R0907379BG,0xd03cd,4G0907379_0190,0x127fe4,44,0x57c17
8R0907379BG,0xd13a5,4G0907379_0190,0x127bb0,44,0x5680b
8R0907379BG,0xdc5f5,4G0907379_0190,0x12c5a6,44,0x4ffb1
8R0907379BG,0xfc421,4G0907379_0190,0xf3840,44,-0x8be1
8R0907379BG,0xfead3,4G0907379_0190,0xf512a,44,-0x99a9
8R0907379BG,0x103179,4G0907379_0190,0x101910,44,-0x1869
8R0907379BG,0x102801,4G0907379_0190,0x1016c8,43,-0x1139
8R0907379BG,0xc71df,4G0907379_0190,0x118b6c,42,0x5198d
8R0907379BG,0xfc324,4G0907379_0190,0xf374f,42,-0x8bd5
8R0907379BG,0xd1355,4G0907379_0190,0x127b60,40,0x5680b
8R0907379BG,0xfcbad,4G0907379_0190,0xf4238,40,-0x8975
8R0907379BG,0xffffd,4G0907379_0190,0xf441c,40,-0xbbe1
8R0907379BG,0xfc382,4G0907379_0190,0xf37ad,39,-0x8bd5
8R0907379BG,0x102775,4G0907379_0190,0x101e04,39,-0x971
8R0907379BG,0xd0289,4G0907379_0190,0x127ed4,38,0x57c4b
8R0907379BG,0x10355d,4G0907379_0190,0x106ea4,38,0x3947
8R0907379BG,0xd13d5,4G0907379_0190,0x127be0,36,0x5680b
8R0907379BG,0xd14bd,4G0907379_0190,0x127cc8,36,0x5680b
8R0907379BG,0xfc348,4G0907379_0190,0xf3773,36,-0x8bd5
8R0907379BG,0x102b95,4G0907379_0190,0x101c0c,36,-0xf89
8R0907379BG,0xd03fd,4G0907379_0190,0x128014,35,0x57c17
8R0907379BG,0xfc3a1,4G0907379_0190,0xf37cc,35,-0x8bd5
8R0907379BG,0x103259,4G0907379_0190,0x101938,35,-0x1921
8R0907379BG,0x10438c,4G0907379_0190,0x10777b,35,0x33ef
8R0907379BG,0xd2a35,4G0907379_0190,0x129498,34,0x56a63
8R0907379BG,0xfc897,4G0907379_0190,0xf3f72,34,-0x8925
8R0907379BG,0xfcda9,4G0907379_0190,0xf3b30,33,-0x9279
8R0907379BG,0xbbfd5,4G0907379_0190,0x101b58,32,0x45b83
8R0907379BG,0xd02e4,4G0907379_0190,0x127f03,32,0x57c1f
8R0907379BG,0xd1381,4G0907379_0190,0x127b8c,32,0x5680b
8R0907379BG,0xd13fd,4G0907379_0190,0x127c08,32,0x5680b
8R0907379BG,0xdabc1,4G0907379_0190,0x133140,32,0x5857f
8R0907379BG,0xfdd35,4G0907379_0190,0xf8ea8,32,-0x4e8d
8R0907379BG,0x102bb5,4G0907379_0190,0x10156c,32,-0x1649
8R0907379BG,0x10320d,4G0907379_0190,0x101e68,32,-0x13a5
8R0907379BG,0xb5ac1,4G0907379_0190,0x141213,31,0x8b752
8R0907379BG,0xfb48d,4G0907379_0190,0xefca8,31,-0xb7e5
8R0907379BG,0xfc369,4G0907379_0190,0xf3794,31,-0x8bd5
8R0907379BG,0xff2c5,4G0907379_0190,0xf4818,31,-0xaaad
8R0907379BG,0xff92b,4G0907379_0190,0xf4c62,31,-0xacc9
8R0907379BG,0xd2b05,4G0907379_0190,0x129578,30,0x56a73
8R0907379BG,0xd2b25,4G0907379_0190,0x12959c,30,0x56a77
8R0907379BG,0x100f1b,4G0907379_0190,0xf23fa,30,-0xeb21
8R0907379BG,0x102d81,4G0907379_0190,0x101f38,30,-0xe49
8R0907379BG,0x1005b9,4G0907379_0190,0xf27cc,29,-0xdded
8R0907379BG,0x100e79,4G0907379_0190,0xf235c,29,-0xeb1d
8R0907379BG,0x1027b9,4G0907379_0190,0x10167c,29,-0x113d
8R0907379BG,0x102fe1,4G0907379_0190,0x101cb8,29,-0x1329
8R0907379BG,0x1048a2,4G0907379_0190,0x1077f1,29,0x2f4f
8R0907379BG,0xd143d,4G0907379_0190,0x127c48,28,0x5680b
8R0907379BG,0xd864d,4G0907379_0190,0x130790,28,0x58143
8R0907379BG,0xd9145,4G0907379_0190,0x131580,28,0x5843b
8R0907379BG,0xfb841,4G0907379_0190,0xf389c,28,-0x7fa5
8R0907379BG,0x1029d9,4G0907379_0190,0x1015b4,28,-0x1425
8R0907379BG,0xd03b1,4G0907379_0190,0x127fc8,27,0x57c17
8R0907379BG,0xfc8ef,4G0907379_0190,0xf3fca,27,-0x8925
8R0907379BG,0xff62f,4G0907379_0190,0xf4956,27,-0xacd9
8R0907379BG,0x10053d,4G0907379_0190,0xf2758,27,-0xdde5
8R0907379BG,0x1042a9,4G0907379_0190,0x10785c,27,0x35b3
8R0907379BG,0x104709,4G0907379_0190,0x1076a4,27,0x2f9b
8R0907379BG,0x104800,4G0907379_0190,0x107c53,27,0x3453
8R0907379BG,0xce1f9,4G0907379_0190,0x1232e8,26,0x550ef
8R0907379BG,0xff45d,4G0907379_0190,0xf51fc,26,-0xa261
8R0907379BG,0xff479,4G0907379_0190,0xf5218,26,-0xa261
8R0907379BG,0x100e4d,4G0907379_0190,0xf2330,26,-0xeb1d
8R0907379BG,0x102c4d,4G0907379_0190,0x1019b0,26,-0x129d
8R0907379BG,0xa2423,4G0907379_0190,0x1386a3,25,0x96280
8R0907379BG,0xbfd2c,4G0907379_0190,0x12ed5b,25,0x6f02f
8R0907379BG,0xfc887,4G0907379_0190,0xf3f62,25,-0x8925
8R0907379BG,0xff8ad,4G0907379_0190,0xf4bfc,25,-0xacb1
8R0907379BG,0x1027da,4G0907379_0190,0x10169d,25,-0x113d
8R0907379BG,0x10385d,4G0907379_0190,0x1072fc,25,0x3a9f
8R0907379BG,0x10387d,4G0907379_0190,0x10731c,25,0x3a9f
8R0907379BG,0xd1421,4G0907379_0190,0x127c2c,24,0x5680b
8R0907379BG,0xd145d,4G0907379_0190,0x127c68,24,0x5680b
8R0907379BG,0xd7e01,4G0907379_0190,0x12ec9c,24,0x56e9b
8R0907379BG,0xd866d,4G0907379_0190,0x1307b0,24,0x58143
8R0907379BG,0xd868a,4G0907379_0190,0x1307cd,24,0x58143
8R0907379BG,0x100c55,4G0907379_0190,0xf2114,24,-0xeb41
8R0907379BG,0xd0365,4G0907379_0190,0x127f7c,23,0x57c17
8R0907379BG,0xd1fc1,4G0907379_0190,0x137938,23,0x65977
8R0907379BG,0xfe278,4G0907379_0190,0xf96a7,23,-0x4bd1
8R0907379BG,0x100909,4G0907379_0190,0xf1db0,23,-0xeb59
8R0907379BG,0x1027e8,4G0907379_0190,0x1016ab,23,-0x113d
4G0907379_0190,0xfdcd4,4G0907379H_0361,0x10d708,858,0xfa34
4G0907379_0190,0xf8f20,4G0907379H_0361,0x1083d0,822,0xf4b0
4G0907379_0190,0xe04a9,4G0907379H_0361,0xf1865,602,0x113bc
4G0907379_0190,0x11f83c,4G0907379H_0361,0x131954,591,0x12118
4G0907379_0190,0x12278c,4G0907379H_0361,0x135474,569,0x12ce8
4G0907379_0190,0x11c06e,4G0907379H_0361,0x12e75e,542,0x126f0
4G0907379_0190,0xe51c8,4G0907379H_0361,0xf66a8,489,0x114e0
4G0907379_0190,0x12d20c,4G0907379H_0361,0x13ff5c,466,0x12d50
4G0907379_0190,0x118d74,4G0907379H_0361,0x129e04,447,0x11090
4G0907379_0190,0x127ed4,4G0907379H_0361,0x13aaa0,440,0x12bcc
4G0907379_0190,0xf3948,4G0907379H_0361,0x1011ac,435,0xd864
4G0907379_0190,0x127b60,4G0907379H_0361,0x13a72c,434,0x12bcc
4G0907379_0190,0x129474,4G0907379H_0361,0x13c200,417,0x12d8c
4G0907379_0190,0x11d8d0,4G0907379H_0361,0x12fca4,416,0x123d4
4G0907379_0190,0xff386,4G0907379H_0361,0x110b44,411,0x117be
4G0907379_0190,0x1127e2,4G0907379H_0361,0x123c8e,383,0x114ac
4G0907379_0190,0x128df0,4G0907379H_0361,0x13bd18,367,0x12f28
4G0907379_0190,0xf985e,4G0907379H_0361,0x1090e6,365,0xf888
4G0907379_0190,0xdff40,4G0907379H_0361,0xf12fc,363,0x113bc
4G0907379_0190,0xe5679,4G0907379H_0361,0xf6b65,361,0x114ec
4G0907379_0190,0x118a48,4G0907379H_0361,0x129ad8,343,0x11090
4G0907379_0190,0xf99cc,4G0907379H_0361,0x109254,341,0xf888
4G0907379_0190,0xdee7c,4G0907379H_0361,0xed2d0,329,0xe454
4G0907379_0190,0x11fb1e,4G0907379H_0361,0x131c36,325,0x12118
4G0907379_0190,0x11604c,4G0907379H_0361,0x1275a4,309,0x11558
4G0907379_0190,0x11e25a,4G0907379H_0361,0x130356,285,0x120fc
4G0907379_0190,0x12ec90,4G0907379H_0361,0x141a9c,280,0x12e0c
4G0907379_0190,0x127688,4G0907379H_0361,0x13a250,275,0x12bc8
4G0907379_0190,0xe00a0,4G0907379H_0361,0xf145c,271,0x113bc
4G0907379_0190,0x1232e0,4G0907379H_0361,0x1358fc,269,0x1261c
4G0907379_0190,0x11e382,4G0907379H_0361,0x13047e,264,0x120fc
4G0907379_0190,0xf071a,4G0907379H_0361,0xffc32,263,0xf518
4G0907379_0190,0x12c372,4G0907379H_0361,0x13ea82,256,0x12710
4G0907379_0190,0xf0c34,4G0907379H_0361,0xfeab4,255,0xde80
4G0907379_0190,0xf0e80,4G0907379H_0361,0xfed14,250,0xde94
4G0907379_0190,0xdfd5c,4G0907379H_0361,0xf1118,246,0x113bc
4G0907379_0190,0x1306f0,4G0907379H_0361,0x143008,246,0x12918
4G0907379_0190,0xdfc6c,4G0907379H_0361,0xf1028,238,0x113bc
4G0907379_0190,0x1233e1,4G0907379H_0361,0x1359fd,238,0x1261c
4G0907379_0190,0x11ab48,4G0907379H_0361,0x12ced4,233,0x1238c
4G0907379_0190,0x12b4b6,4G0907379H_0361,0x13d62e,229,0x12178
4G0907379_0190,0x10ce09,4G0907379H_0361,0x11cdbd,226,0xffb4
4G0907379_0190,0x10cf71,4G0907379H_0361,0x11cf25,226,0xffb4
4G0907379_0190,0x1204a4,4G0907379H_0361,0x1325c0,226,0x1211c
4G0907379_0190,0xfb978,4G0907379H_0361,0x10b368,225,0xf9f0
4G0907379_0190,0x104870,4G0907379H_0361,0x115d00,225,0x11490
4G0907379_0190,0x12eee6,4G0907379H_0361,0x141bde,220,0x12cf8
4G0907379_0190,0xfaa9a,4G0907379H_0361,0x10a476,219,0xf9dc
4G0907379_0190,0xdfe64,4G0907379H_0361,0xf1220,218,0x113bc
4G0907379_0190,0x123ce6,4G0907379H_0361,0x1360ba,216,0x123d4
