dest_vaddr,from_vaddr,from_func
80380000,800831e4,FUN_800831ba
80380000,80017820,
80380000,8004035c,
80380000,8000e2f4,
80380000,8000e2fc,
80380000,800c7a8e,FUN_800c7a7e
80380000,8002fc94,
803822cc,800cb3fe,FUN_800cb384
803822cc,800cb42e,FUN_800cb384
803822cc,800cb462,FUN_800cb384
803822d0,800cb400,FUN_800cb384
803822d0,800cb430,FUN_800cb384
803822d0,800cb464,FUN_800cb384
803822d4,800cb40e,FUN_800cb384
803822d4,800cb43e,FUN_800cb384
803822d4,800cb470,FUN_800cb384
803822d8,800cb40a,FUN_800cb384
803822d8,800cb43a,FUN_800cb384
803822d8,800cb46e,FUN_800cb384
8038236c,8005f53c,FUN_8005f51e
8038236c,8005f546,FUN_8005f51e
8038236c,8005f77e,FUN_8005f576
8038236c,8005f78e,FUN_8005f576
8038239c,80162f2e,FUN_80162f26
8038239c,80163290,
8038239c,80163298,
8038239c,8016329c,
8038239c,801632a6,
8038239c,80163102,
8038239c,80163126,
8038239c,80163150,
8038239c,8016317e,
8038239c,80163192,
8038239c,801631bc,
8038239c,80163146,
8038239c,801631e6,
8038239c,80162f5a,
8038239c,80162f6c,
8038239c,80162f7a,
8038239c,80162f88,
803823a4,80166b9a,
803823a4,80166710,
803823a4,8016673e,
803823a4,8016674c,
803823a4,80166878,
803823a4,80166922,
803823a4,801669a6,
803823a4,80166aaa,
803823a4,80166abe,
803823a4,80166ae8,
803823a4,8016664c,
803823a4,80166b5e,
803823a4,80166bb4,
803823a4,80166890,
803823a4,80166786,
803823a4,801667ac,
803823a4,801668b4,
803823a4,801668bc,
803823a4,801668cc,
803823a4,801668ee,
803823a4,80166964,
803823a4,80166972,
803823a4,801669ae,
803823a4,801669d4,
803823a4,80166b10,
803823a4,80166b1c,
803823a4,80166ba0,
803823a4,80166912,
803823a4,801666cc,
803823a4,80166688,
803823a4,801666a6,
803823a8,80166380,FUN_80166372
803823a8,80166876,
803823a8,80166aa8,
803823a8,801667be,
803823a8,801667fc,
803823a8,8016680e,
803823a8,8016683e,
803823a8,801669e6,
803823a8,80166a24,
803823a8,80166a36,
803823a8,80166a66,
803823ac,8016637e,FUN_80166372
803823ac,80166ada,
803823ac,801667d0,
803823ac,801667ea,
803823ac,80166832,
803823ac,8016683c,
803823ac,801669f8,
803823ac,80166a12,
803823ac,80166a5a,
803823ac,80166a64,
803823ac,80166ab0,
803823b0,8016b11a,FUN_8016b086
803823b0,8016b11e,FUN_8016b086
803823b0,8016b10a,FUN_8016b086
803823b0,8016b998,
803823b0,8016b9a0,
803823b0,8016b9ac,
803823b0,8016b9cc,
803823b0,8016b9d4,
803823b0,8016b9d8,
803823b0,8016baf4,
803823b4,8016b10e,FUN_8016b086
803823b4,8016b116,FUN_8016b086
803823b4,8016b122,FUN_8016b086
803823b4,8016b126,FUN_8016b086
803823b4,8016b942,
803823b4,8016b962,
803823b4,8016b96e,
803823b4,8016b97c,
803823b4,8016b98c,
803823b4,8016b990,
803823b4,8016b9b6,
803823b4,8016b9c0,
803823b4,8016b9c4,
803823b4,8016b9de,
803823b4,8016b9ec,
803823b4,8016ba00,
803823b4,8016ba04,
803823b4,8016ba1a,
803823b4,8016ba20,
803823b4,8016ba2a,
803823b4,8016ba4a,
803823b4,8016ba5e,
803823b4,8016ba70,
803823b4,8016ba7c,
803823b4,8016ba82,
803823b4,8016ba96,
803823b4,8016baf0,
803823f8,8019d672,FUN_8019d664
803823fc,8019d822,FUN_8019d6ae
803823fc,8019d836,FUN_8019d6ae
803823fc,8019d83c,FUN_8019d6ae
80382400,8019d7b8,FUN_8019d6ae
80382400,8019d7c2,FUN_8019d6ae
80382400,8019d7c6,FUN_8019d6ae
80382400,8019d7d0,FUN_8019d6ae
80382400,8019d7d4,FUN_8019d6ae
80382400,8019d7ea,FUN_8019d6ae
80382400,8019d804,FUN_8019d6ae
8038240c,8003e658,
8038240c,800ae190,FUN_800ae178
80382414,800966fe,
80382428,800d39f2,FUN_800d3838
80382429,800d392a,FUN_800d3838
8038242a,800d389e,FUN_800d3838
8038242b,800d388a,FUN_800d3838
8038242c,800d3952,FUN_800d3838
8038242d,800d393e,FUN_800d3838
8038242e,800d3966,FUN_800d3838
8038242f,800d38b2,FUN_800d3838
80382430,800d38ee,FUN_800d3838
