id,record_addr,cfg,unpack_fn,pack_fn,has_dedicated_unpacker
0x109,0x8008f2ac,0x8008ef00,0x00000000,0x00000000,no(generic)
0x10a,0x8008f2d8,0x8008ef0c,0x801d3160,0x801d311c,yes
0x50a,0x8008f304,0x8008ef14,0x801d2b1c,0x801d2b4c,yes
0x50a,0x8008f330,0x8008ef1c,0x8019119c,0x801911a0,yes
0x109,0x8008f35c,0x8008ef24,0x00000000,0x00000000,no(generic)
0x18a,0x8008f388,0x8008ef2c,0x801de900,0x801de908,yes
0x18a,0x8008f3b4,0x8008ef34,0x801de920,0x801de928,yes
0x18a,0x8008f3e0,0x8008ef3c,0x801de940,0x801de948,yes
0x18a,0x8008f40c,0x8008ef44,0x801de950,0x801de9a8,yes
0x50a,0x8008f438,0x8008ef4c,0x801d3440,0x801d3454,yes
0x50a,0x8008f464,0x8008ef54,0x801b0120,0x801b0190,yes
0x18a,0x8008f490,0x8008ef5c,0x801d3474,0x801d348c,yes
0x70a,0x8008f4bc,0x8008ef64,0x801b1f10,0x801b1f44,yes
0x309,0x8008f4e8,0x8008ef6c,0x00000000,0x00000000,no(generic)
0x70a,0x8008f514,0x8008ef74,0x801de46c,0x801de498,yes
0x50a,0x8008f540,0x8008ef7c,0x801b6450,0x801b64b4,yes
0x50a,0x8008f56c,0x8008ef84,0x801b6358,0x801b63a0,yes
0x18a,0x8008f598,0x8008ef8c,0x801b4730,0x801b476c,yes
0x70a,0x8008f5c4,0x8008ef94,0x801b2630,0x801b2680,yes
0x50a,0x8008f5f0,0x8008ef9c,0x801ac8d8,0x801ac8e0,yes
0x50a,0x8008f61c,0x8008efa4,0x801b6788,0x801b67a4,yes
0x70a,0x8008f648,0x8008efac,0x80192480,0x80192490,yes
0x71a,0x8008f674,0x8008efb4,0x801cf34a,0x801cf338,yes
0x51a,0x8008f6a0,0x8008efbc,0x801c6144,0x801c619c,yes
0x71a,0x8008f6cc,0x8008efc4,0x801c61f4,0x801c6294,yes
0x719,0x8008f6f8,0x8008efcc,0x00000000,0x00000000,no(generic)
0x719,0x8008f724,0x8008efd4,0x00000000,0x00000000,no(generic)
0x719,0x8008f750,0x8008efdc,0x00000000,0x00000000,no(generic)
0x719,0x8008f77c,0x8008efe4,0x00000000,0x00000000,no(generic)
0x719,0x8008f7a8,0x8008efec,0x00000000,0x00000000,no(generic)
0x719,0x8008f7d4,0x8008eff4,0x00000000,0x00000000,no(generic)
0x719,0x8008f800,0x8008effc,0x00000000,0x00000000,no(generic)
0x719,0x8008f82c,0x8008f004,0x00000000,0x00000000,no(generic)
0x719,0x8008f858,0x8008f00c,0x00000000,0x00000000,no(generic)
0x719,0x8008f884,0x8008f014,0x00000000,0x00000000,no(generic)
0x71a,0x8008f8b0,0x8008f01c,0x801c6318,0x801c6374,yes
0x71a,0x8008f8dc,0x8008f024,0x801c63d4,0x801c6454,yes
0x71a,0x8008f908,0x8008f02c,0x801c64cc,0x801c6534,yes
0x71a,0x8008f934,0x8008f034,0x801c6594,0x801c65dc,yes
0x71a,0x8008f960,0x8008f03c,0x801c661c,0x801c6684,yes
0x71a,0x8008f98c,0x8008f044,0x801c66e4,0x801c6748,yes
0x71a,0x8008f9b8,0x8008f04c,0x801c67ac,0x801c67e4,yes
0x71a,0x8008f9e4,0x8008f054,0x801c6818,0x801c6850,yes
0x71a,0x8008fa10,0x8008f05c,0x801c6884,0x801c68b8,yes
0x71a,0x8008fa3c,0x8008f064,0x801c68e4,0x801c6928,yes
0x71a,0x8008fa68,0x8008f06c,0x801c6968,0x801c6ab0,yes
0x719,0x8008fa94,0x8008f074,0x00000000,0x00000000,no(generic)
0x71a,0x8008fac0,0x8008f07c,0x801b6938,0x801b695c,yes
0x71a,0x8008faec,0x8008f084,0x801a459c,0x801a4594,yes
0x71a,0x8008fb18,0x8008f08c,0x801b3f4c,0x801b3f70,yes
0x71a,0x8008fb44,0x8008f094,0x801c1490,0x801c1498,yes
0x71a,0x8008fb70,0x8008f09c,0x801c1420,0x801c1454,yes
0x71a,0x8008fb9c,0x8008f0a4,0x8019059c,0x801905a4,yes
0x71a,0x8008fbc8,0x8008f0ac,0x801ae748,0x801ae770,yes
0x71a,0x8008fbf4,0x8008f0b4,0x801b8334,0x801b8370,yes
0x71a,0x8008fc20,0x8008f0bc,0x801d2b9a,0x801d2bbe,yes
0x71a,0x8008fc4c,0x8008f0c4,0x801d4a5e,0x801d4a0c,yes
0x71a,0x8008fc78,0x8008f0cc,0x801b7520,0x801b75e0,yes
0x71a,0x8008fca4,0x8008f0d4,0x801ac8b0,0x801ac8c0,yes
