function,table_base,index,n_entries,target
801752e4,0x80091094,0,5,0x801f46e8
801752e4,0x80091094,1,5,0x801f470c
801752e4,0x80091094,2,5,0x801f4724
801752e4,0x80091094,3,5,0x801f4760
801752e4,0x80091094,4,5,0x801f47c8
801752e4,0x80091080,0,10,0x801f46bc
801752e4,0x80091080,1,10,0x801f46fc
801752e4,0x80091080,2,10,0x801f4720
801752e4,0x80091080,3,10,0x801f474c
801752e4,0x80091080,4,10,0x801f4774
801752e4,0x80091080,5,10,0x801f46e8
801752e4,0x80091080,6,10,0x801f470c
801752e4,0x80091080,7,10,0x801f4724
801752e4,0x80091080,8,10,0x801f4760
801752e4,0x80091080,9,10,0x801f47c8
801cfe6c,0x800836b0,0,4,0x801cfe34
801cfe6c,0x800836b0,1,4,0x801d2da0
801cfe6c,0x800836b0,2,4,0x801d3100
801cfe6c,0x800836b0,3,4,0x801d2f7c
801cfe6c,0x800836a8,0,6,0x801cfe34
801cfe6c,0x800836a8,1,6,0x801cfe34
801cfe6c,0x800836a8,2,6,0x801cfe34
801cfe6c,0x800836a8,3,6,0x801d2da0
801cfe6c,0x800836a8,4,6,0x801d3100
801cfe6c,0x800836a8,5,6,0x801d2f7c
801cfe6c,0x800836ac,0,5,0x801cfe34
801cfe6c,0x800836ac,1,5,0x801cfe34
801cfe6c,0x800836ac,2,5,0x801d2da0
801cfe6c,0x800836ac,3,5,0x801d3100
801cfe6c,0x800836ac,4,5,0x801d2f7c
