table,record,did,length,flags,access,target,target_kind
boot/init,0x80030890,0x0405,1,0x00030f,handler(buf) emits fixed length,0x8002a372,code
boot/init,0x8003089c,0x0407,6,0x00030f,handler(buf) emits fixed length,0x8002a382,code
boot/init,0x800308a8,0x0408,6,0x00030f,handler(buf) emits fixed length,0x8002a3d0,code
boot/init,0x800308b4,0x040f,6,0x00030f,handler(buf) emits fixed length,0x8002a41e,code
boot/init,0x800308c0,0xf17c,23,0x00030f,handler(buf) emits fixed length,0x8002a46c,code
boot/init,0x800308cc,0xf186,0,0x00040f,"handler(buf,emit)->length (variable)",0x8002a796,code
boot/init,0x800308d8,0xf187,11,0x00020f,data-pointer (fixed length),0xc03fe5f4,ram
boot/init,0x800308e4,0xf189,4,0x00020f,data-pointer (fixed length),0xc03fe604,ram
boot/init,0x800308f0,0xf191,11,0x00020f,data-pointer (fixed length),0xc03fc148,ram
boot/init,0x800308fc,0xf1a3,3,0x00020f,data-pointer (fixed length),0xc03feed4,ram
boot/init,0x80030908,0xf19e,0,0x00040f,"handler(buf,emit)->length (variable)",0x8002a722,code
boot/init,0x80030914,0xf1a2,6,0x00030f,handler(buf) emits fixed length,0x8002a700,code
boot/init,0x80030920,0xf1f4,29,0x00030f,handler(buf) emits fixed length,0x8002a5b6,code
boot/init,0x8003092c,0xf1df,0,0x00040f,"handler(buf,emit)->length (variable)",0x8002a266,code
boot/init,0x80030938,0xf15b,0,0x00040f,"handler(buf,emit)->length (variable)",0x8002a122,code
boot/init,0x80030944,0xf15a,9,0x00030f,handler(buf) emits fixed length,0x8002a340,code
boot/init,0x80030950,0xf190,17,0x00020f,data-pointer (fixed length),0xc03fe5e0,ram
boot/init,0x8003095c,0xf1ab,12,0x00030f,handler(buf) emits fixed length,0x8002a098,code
app-b,0x80083ac0,0x0405,1,0x00030f,handler(buf) emits fixed length,0x8011f884,code
app-b,0x80083acc,0x0407,6,0x00030f,handler(buf) emits fixed length,0x8011f894,code
app-b,0x80083ad8,0x0408,6,0x00030f,handler(buf) emits fixed length,0x8011f8e4,code
