name,kind,data_addr,rows,cols,cellbits,x_axis,y_axis,scaling,unit,axis_mono
lpfp_max_duty,VALUE,0x80043256,1,1,8,,,0.390625*X,,
C_VS_MIN_CRU_MON_L2_EGAS_monitor_twin,VALUE,0x800456c0,1,1,8,,,X,km/h,
C_VS_MIN_CRU_MON_L2_alt_EGAS_monitor_twin,VALUE,0x800456bd,1,1,8,,,X,km/h,
C_VS_MIN_CRU_OFF,VALUE,0x800456be,1,1,8,,,X,km/h,
C_VS_MIN_CRU_OFF_alt,VALUE,0x800456c3,1,1,8,,,X,km/h,
C_VS_MIN_CRU_functional,VALUE,0x8007a26a,1,1,16,,,0.0078125*X,km/h,
ACC_feature_enable_bitfield_0x7a247,VALUE,0x8007a247,1,1,8,,,X,,
c_vs_max_aeb_act,VALUE,0x80043c38,1,1,8,,,X,km/h,
C_VS_MIN_CRU_MON_operative_0x794ef,VALUE,0x800794ef,1,1,8,,,X,km/h,
C_VS_MIN_CRU_MON_operative_0x794f2,VALUE,0x800794f2,1,1,8,,,X,km/h,
ACC_creep_enable_speed_gate_C_VS_MIN_CRU_path,VALUE,0x80079536,1,1,16,,,0.0078125*X,km/h,
AC_DCRU_PLAUS_L2_min_3_0,VALUE,0x80043514,1,1,16,,,0.001*X,m/s^2,
AC_DCRU_PLAUS_L2_max_2_0,VALUE,0x80043512,1,1,16,,,0.001*X,m/s^2,
AC_DCRU_PLAUS_L2_rate,VALUE,0x80043510,1,1,16,,,X,,
ACC_engine_torque_decel_limit_0_82,VALUE,0x80079982,1,1,16,,,0.005*X,m/s^2,
ACC_engine_torque_accel_limit_1_64,VALUE,0x80079980,1,1,16,,,0.005*X,m/s^2,
Cruise_torque_RISING_rate_limit_clutch_close_re_engage_smoothness,VALUE,0x80043652,1,1,16,,,2*X,,
Cruise_torque_FALLING_rate_limit_clutch_open_release,VALUE,0x80043650,1,1,16,,,2*X,,
ACC_Dynamik_torque_scale_INERT_all_4_modes_500,VALUE,0x80043a96,1,1,16,,,X,,
Max_RPM_for_Engine_Oil_Temp,CURVE,0x80044518,1,4,8,0x8004448d,,32*X,RPM,
Max_RPM_for_Engine_Coolant_Temp,CURVE,0x80044512,1,6,8,0x8004447f,,32*X,RPM,
Ignition_Dwell_Time,MAP,0x80073dac,10,8,16,0x80073c35,0x80073bd5,0.004*X,ms,
ip_tq_pow_max_at_0,MAP,0x800560f4,12,10,16,0x8005577d,0x80055896,0.03125*X-1024,Nm,
ip_tq_pow_max_eco_0,MAP,0x80056554,12,10,16,0x8005577d,0x80055896,0.03125*X-1024,Nm,
ip_tq_pow_max_eco_1,MAP,0x80056644,12,10,16,0x8005577d,0x80055896,0.03125*X-1024,Nm,
ip_tqi_ref,MAP,0x80057bd4,16,12,16,0x80056dd2,0x80056e31,0.03125*X,Nm,
ip_mff_cor_1,MAP,0x800711e4,12,16,16,0x8006fae5,0x8006fa62,3.05176e-05*X,,
ip_mff_cor_2,MAP,0x80071c24,12,16,16,0x8006fae5,0x8006fa62,3.05176e-05*X,,
ip_tq_pow_max_at_1,MAP,0x800561e4,12,10,16,0x8005577d,0x80055896,0.03125*X-1024,Nm,
ip_tq_pow_max_mt_4wd_0,CURVE,0x800568b4,1,8,16,0x800558c6,,0.03125*X-1024,Nm,
ip_tq_pow_max_ef,CURVE,0x80056734,1,8,16,0x80055982,,0.03125*X-1024,,
ip_tq_pow_max_cam_in,CURVE,0x800564b4,1,8,16,0x80055882,,0.03125*X,,
ip_tq_pow_max_mt_0,MAP,0x80056764,12,7,16,0x80042285,0x80055946,0.03125*X,,
ip_tq_pow_max_mt_1,MAP,0x8005680c,12,7,16,0x80042285,0x80055946,0.03125*X,,
ip_fup_sp_dui,MAP,0x8005edbc,8,10,16,0x8005a782,0x8005a811,0.000265336*X,MPa,
ip_fup_sp_pu,MAP,0x8005ef4c,8,10,16,0x8005a782,0x8005a811,0.000265*X,MPa,
ip_fup_sp_hom,MAP,0x8005ee5c,12,10,16,0x8005a782,0x80059cf9,0.000265336*X,MPa,
ip_iga_ad_1_inc_knk,CURVE,0x80044fc9,1,8,8,0x80073e69,,0.375*X,Deg CR,
ip_iga_inc_knk,CURVE,0x80044fd1,1,8,8,0x80073e69,,0.375*X,Deg CR,
ACC_decel_limit_curve_3_0_clamp_C_AC_SP_LIM_NEG_path,CURVE,0x8005b71c,1,6,16,0x8005a4c6,,0.00085*X-27.8528,m/s^2,
ACC_decel_limit_curve_ALT_mode_3_0_d000a757_path,CURVE,0x8005b728,1,6,16,0x8005a4f6,,0.00085*X-27.8528,m/s^2,
V_PVS_MAX_top_speed_limiter,VAL_BLK,0x80043c2c,1,1,16,,,0.0078125*X,km/h,
tq_factor_block_55e64_unattributed,VAL_BLK,0x80055e64,1,1,16,,,3.05176e-05*X,,
curve_55f04_factor,VAL_BLK,0x80055f04,1,1,16,,,3.05176e-05*X,,
tq_upper_limit_57620,VAL_BLK,0x80057620,1,1,16,,,X,,
ABC_INC_LOAD_plausibility_window,VAL_BLK,0x8004eb6c,1,1,16,,,X,,
ip_mff_mon_thresh,VAL_BLK,0x8006d3ac,1,1,16,,,0.000976563*X,,
Mom_ueberw_L2_permissible_torque_dev,VAL_BLK,0x80040940,1,1,16,,,X,,
redundant_signal_plausibility_tol,VALUE,0x80040abc,1,1,16,,,X,,
thermal_permissive_gate_thresh,VALUE,0x800423ce,1,1,16,,,X,,
ip_iga_spark_correction_bank,VAL_BLK,0x8007865b,1,1,8,,,X,,
