dest_vaddr,from_vaddr,from_func
80040400,801f2bea,handle_flash_status
80040718,801903f8,
80040956,80164232,update_control_flags_801641c4
80040956,80164242,update_control_flags_801641c4
8004096c,800fc700,update_control_flags_800fc620
8004096c,800fc7a6,update_control_flags_800fc620
8004096c,800fc7b6,update_control_flags_800fc620
8004096c,800fc710,update_control_flags_800fc620
8004096d,800fc848,update_control_flags_800fc620
8004096d,800fc858,update_control_flags_800fc620
8004096e,80164262,update_control_flags_801641c4
80040984,800fc7d8,update_control_flags_800fc620
80040984,800fc730,update_control_flags_800fc620
80040985,800fc87a,update_control_flags_800fc620
800409a0,801a1560,update_checksums
800409ca,801a1770,update_control_value
800409ca,801a176c,update_control_value
800409cc,801a177a,update_control_value
800409cc,801a1776,update_control_value
80040a11,800c0062,
80040a52,801a2014,update_calibration_maps
80040aae,800c004e,
80040bc0,8016415c,update_status_flags_80164154
80040bc2,8016416a,update_status_flags_80164154
80040bc2,80164166,update_status_flags_80164154
80040bc8,800fc9a4,update_status_flags_800fc99c
80040bca,800fc9b2,update_status_flags_800fc99c
80040bcc,800fc9c0,update_status_flags_800fc99c
80040bce,800fc9ce,update_status_flags_800fc99c
80040bd0,800fc9dc,update_status_flags_800fc99c
80040bd2,800fc9ea,update_status_flags_800fc99c
80040bd2,800fc9e6,update_status_flags_800fc99c
80040c06,800fc9f4,update_status_flags_800fc99c
80040c06,80164174,update_status_flags_80164154
80040d43,800f02bc,
80040d43,800f02b8,
80040dd0,80195744,update_ecu_state_8019571c
80040e34,801965c4,initialize_ecu_state_8019656c
80040e34,801966d6,reset_ecu_state_80196694
80040e38,801965c8,initialize_ecu_state_8019656c
80040e38,801966da,reset_ecu_state_80196694
80040e3c,80197828,initialize_state_80197820
80040e3c,801977cc,initialize_ecu_state_801977b0
80040e40,8019ab6a,clear_transfer_block
80040e40,8019abb8,initialize_control_flags
80040e56,8019573e,update_ecu_state_8019571c
80040f70,80195096,initialize_ecu_state_8019507c
80040f74,801950a4,initialize_ecu_state_8019507c
80040fa8,8019551c,initialize_ecu_state_8019550c
80040fd9,801bf054,
8004102a,8015800c,
80041032,80158116,
80041044,801941c0,reset_ecu_state_801940d8
8004105e,80157f5e,
8004105e,80157f8a,
800410d2,801580ca,
800410f4,801941d8,reset_ecu_state_801940d8
8004110a,80195752,update_ecu_state_8019571c
8004110e,801934c0,initialize_ecu_state_80193474
8004110e,801934b8,initialize_ecu_state_80193474
80041118,801977c2,initialize_ecu_state_801977b0
8004112e,8019574a,update_ecu_state_8019571c
80041152,801580fa,
80041176,80193e2a,reset_ecu_state_80193df2
80041178,80193e2a,reset_ecu_state_80193df2
8004117a,80193e1c,reset_ecu_state_80193df2
