cell,byte,low_bit,width,bit_span,factory_value,rule,rule_meaning,allowed,label,confidence,decodes_to,note
0,0,0,3,0-2,2,0x02,codeable (value must be in the allowed list),2,(unknown),UNKNOWN,,
1,0,3,3,3-5,5,0x02,codeable (value must be in the allowed list),5,(unknown),UNKNOWN,,
2,0,6,2,6-7,0,0x02,codeable (value must be in the allowed list),0 1,(unknown),UNKNOWN,,
3,1,0,3,0-2,2,0x02,codeable (value must be in the allowed list),2,Drivetrain/vehicle variant class,PROBABLE,d000a735..73b,"5 exclusive classes; 122 consumers - the widest-reaching cell. Contributes the last letter (D/A/G/M/J, +1 if cell 23) of the identifier built by 0x801bd36c."
4,1,3,3,3-5,5,0x02,codeable (value must be in the allowed list),5,(unknown),UNKNOWN,,
5,1,6,1,6,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
6,1,7,1,7,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
7,2,0,2,0-1,0,0x02,codeable (value must be in the allowed list),0,(unknown),UNKNOWN,,
8,2,2,2,2-3,0,0x02,codeable (value must be in the allowed list),0,(unknown),UNKNOWN,,
9,2,4,1,4,0,0x02,codeable (value must be in the allowed list),0,(unknown),UNKNOWN,,
10,2,5,1,5,0,0x02,codeable (value must be in the allowed list),0 1,(unknown),UNKNOWN,,
11,2,6,1,6,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
12,2,7,1,7,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
13,3,0,1,0,0,0x02,codeable (value must be in the allowed list),0 1,(unknown),UNKNOWN,,
14,3,1,2,1-2,1,0x02,codeable (value must be in the allowed list),0 1 2 3,Equipment flag group,PROBABLE,d000b3b8,0..3 selects the d000a786..789 / d000b3da flag block in 0x801b6558.
15,3,3,1,3,0,0x02,codeable (value must be in the allowed list),0 1,CAN TX group enable,PROBABLE,d000a740,Gates TX bit 0x80000000.
16,3,4,1,4,1,0x02,codeable (value must be in the allowed list),0 1,CAN TX group enable,PROBABLE,d000a741,Gates TX bits 0x2 and 0x4000000.
17,3,6,2,6-7,0,0x02,codeable (value must be in the allowed list),0 1 2 3,(unknown),UNKNOWN,,
18,4,0,3,0-2,5,0x02,codeable (value must be in the allowed list),3 4 5,Variant parameter set index,PROBABLE,d000b3ba + d000a743..746,"Indexes six 8-entry calibration tables (0x8005b2d4/2dc/2e4/2ec/2f4, 0x80042c98) into d000b3c0..d000b3c5."
19,4,3,2,3-4,0,0x02,codeable (value must be in the allowed list),0 1 2 3,(unknown),UNKNOWN,,
20,4,5,2,5-6,0,0x02,codeable (value must be in the allowed list),0 1,(unknown),UNKNOWN,,
21,4,7,1,7,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
22,5,0,1,0,0,0x02,codeable (value must be in the allowed list),0 1,(unknown),UNKNOWN,,
23,5,1,1,1,1,0x02,codeable (value must be in the allowed list),1,Variant sub-class (variant letter second half),PROBABLE,d000a74f/750,"Shifts the cell-3 letter by one (D->E, A->B, G->H, M->N, J->K)."
24,5,2,1,2,1,0x02,codeable (value must be in the allowed list),0 1,ESP/chassis CAN interface present,PROBABLE,d000a751/752/753,d000a753 gates the ESP_05 (0x106) RX decoder and a 14-bit block of TX enables in can_tx_scheduler@0x80106ed8.
25,5,3,1,3,0,0x02,codeable (value must be in the allowed list),0 1,CAN TX group enable,PROBABLE,d000a754,Gates TX bit 0x800000.
26,5,4,1,4,0,0x02,codeable (value must be in the allowed list),0 1,CAN TX group enable,PROBABLE,d000a755,Gates TX bit 0x1000000.
27,5,5,2,5-6,1,0x02,codeable (value must be in the allowed list),0 1 2,Cruise control system type,CONFIRMED,d000a756/757/758,0=none 1=GRA basic cruise 2=ACC 3=F2S(not implemented). Decoded by coding_decode_cruise_type@0x801b5900; a757=LV_DCC_ENA. This image is coded 1 (GRA); the validator also accepts 2.
28,5,7,1,7,0,0x02,codeable (value must be in the allowed list),0 1,CAN TX group enable,PROBABLE,d000a759,Gates TX bits 0x400/0x800.
29,6,0,1,0,1,0x06,codeable once (allowed list + refuses later changes),0 1,Vehicle bus/equipment class A|B,PROBABLE,d000a75a,Contributes letter A or B at 0x801b60d8; gates several TX enables.
30,6,1,1,1,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
31,6,2,1,2,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
32,6,3,2,3-4,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
33,6,5,2,5-6,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
34,6,7,1,7,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
35,7,0,3,0-2,6,0x02,codeable (value must be in the allowed list),6,Model/market code,PROBABLE,d000b3bd,Mapped through the 24-entry table at 0x8005afc8 to a letter at 0x801b611c.
36,7,3,2,3-4,0,0x02,codeable (value must be in the allowed list),0 1 2 3,(unknown),UNKNOWN,,
37,7,5,2,5-6,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
38,7,7,1,7,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
