diff_block,block_len,stages_changed,map_addr,kind,consumer_func,callee,arg_idx,preview
0x80040940,54,S2-only,0x8004093e,data,FUN_8013273c,kl_interp_u16,1,"[-1, -31334, -31498, -31744, 0, 0, 0, 0]"
0x80040940,54,S2-only,0x80040946,data,FUN_8013273c,kl_interp_u16,1,"[0, 0, 0, 0, 22182, 18900, 17000, 6600]"
0x80040940,54,S2-only,0x8004094e,data,FUN_800bf3d0,lookup_kennlinie_800a2cd0,1,"[22182, 18900, 17000, 6600, 257, 0, 1, 256]"
0x80040940,54,S2-only,0x8004093a,data,FUN_8017b70c,lookup_kennlinie_800a2cd0,1,"[1206, 13869, -1, -31334, -31498, -31744, 0, 0]"
0x80040940,54,S2-only,0x8004093a,data,FUN_801a2c18,lookup_kennlinie_800a2cd0,1,"[1206, 13869, -1, -31334, -31498, -31744, 0, 0]"
0x80040abc,2,S2-only,,,,,,no map-call resolved into block
0x8004119e,32,S1=S2,,,,,,no map-call resolved into block
0x800423ce,2,S2-only,,,,,,no map-call resolved into block
0x80043c2c,18,S1&S2,,,,,,no map-call resolved into block
0x8004449e,126,S1&S2,0x800444ce,axis,FUN_8017a1e0,process_ecu_data_800a2e3c,1,"[-13365, -13365, -13365, -13365, -9253, -9253, -9253, -9253]"
0x8004449e,126,S1&S2,0x800444a6,axis,FUN_8017a1e0,process_ecu_data_800a2e3c,1,"[-12080, -12080, -12080, -12080, -7711, -7711, -7711, -7711]"
0x8004449e,126,S1&S2,0x8004449e,data,FUN_8017a1e0,process_ecu_data_800a2e3c,1,"[-11823, -13103, -13108, -13108, -12080, -12080, -12080, -12080]"
0x8004449e,126,S1&S2,0x800444ee,data,FUN_8017a1e0,process_ecu_data_800a2e3c,1,"[-120, -21332, 1433, 7710, 7710, 7710, -738, -31098]"
0x8004449e,126,S1&S2,0x8004450f,data,FUN_8017a1e0,process_ecu_data_800a2c98,1,"[-25753, -7833, -7711, -7711, -7711, -7711, 481, 1024]"
0x8004449e,126,S1&S2,0x800444f3,data,FUN_8017a1e0,process_ecu_data_800a2e3c,1,"[7685, 7710, 7710, 7710, -30979, -31354, 17027, 12063]"
0x8004449e,126,S1&S2,0x80044518,data,FUN_8017a1e0,process_sensor_data_800a2c7c,1,"[-7711, -7711, 1, 260, 3277, 655, -1, -2]"
0x8004449e,126,S1&S2,0x80044512,data,FUN_8017a1e0,process_sensor_data_800a2c7c,1,"[-7711, -7711, -7711, -7711, -7711, 1, 260, 3277]"
0x8004449e,126,S1&S2,0x80044505,data,FUN_8017a1e0,process_sensor_data_800a2c7c,1,"[-7711, -7711, -7711, 11039, -10795, -25753, -7833, -7711]"
0x8004449e,126,S1&S2,0x80044501,data,FUN_8017a1e0,process_ecu_data_800a2c98,1,"[12063, 12079, -7711, -7711, -7711, 11039, -10795, -25753]"
0x8004449e,126,S1&S2,0x8004450b,data,FUN_8017a1e0,process_ecu_data_800a2c98,1,"[11039, -10795, -25753, -7833, -7711, -7711, -7711, -7711]"
0x8004449e,126,S1&S2,0x800444fb,data,FUN_801175f4,process_sensor_data_800a2c7c,1,"[-30979, -31354, 17027, 12063, 12079, -7711, -7711, -7711]"
0x800449fc,36,S1&S2,,,,,,no map-call resolved into block
0x80048c18,244,S1&S2,,,,,,no map-call resolved into block
