diff_block,table_base,primary_consumer,all_consumers
0x80040940,0x80040956,update_control_flags_801641c4,update_control_flags_800fc620; update_control_flags_801641c4
0x80040956,0x80040956,update_control_flags_801641c4,update_control_flags_800fc620; update_control_flags_801641c4
0x80040abc,0x80040a52,update_calibration_maps,update_calibration_maps; update_checksums; update_control_flags_800fc620; update_control_flags_801641c4; update_control_value
0x8004119e,0x8004117c,reset_ecu_state_80193df2,initialize_ecu_state_80193474; initialize_ecu_state_8019550c; initialize_ecu_state_801977b0; reset_ecu_state_80193df2; reset_ecu_state_801940d8; update_ecu_state_8019571c
0x800423ce,0x80042238,initialize_ecu_state_801c95a0,initialize_ecu_state_801c95a0
0x80043c2c,0x80043c5a,update_status_flags_801ae8e8,FUN_801a5b3c; FUN_801a5f50; FUN_801a7f5c; FUN_801a811c; FUN_801a8994; FUN_801a90ac; FUN_801a9550; FUN_801c43c4; calculate_interpolated_value; check_and_call; check_and_call_handler_801a5be8; check_and_call_handler_801a5fc0; check_and_call_handler_801a5fdc; check_and_call_handler_801a7dec; check_and_call_handler_801a8080; check_and_call_handler_801a8320; check_and_call_handler_801a8338; check_and_call_handler_801a8358; check_and_call_handler_801a8368; check_and_call_handler_801a88e0; check_and_call_handler_801a910c; check_and_call_handler_801a9124; check_and_call_handler_801a9308; check_and_call_handler_801a9320; check_and_call_handler_801a945c; check_and_call_handler_801a9b28; check_and_call_handler_801ab050; check_and_call_handler_801ab128; check_and_call_handlers_801a54d0; check_and_call_handlers_801a82e4; check_and_call_handlers_801ab008; check_and_clear_flag_801ab0cc; check_and_dispatch; check_and_dispatch_801aa194; check_and_handle_flags; check_and_handle_flags_801a88b4; check_and_reset_flag_801a7e8c; check_and_reset_flag_801a8978; check_and_reset_flags_801a5b64; check_and_reset_flags_801a7f84; check_and_reset_flags_801a8060; check_and_reset_flags_801a82b4; check_and_update_flags; check_engine_control_flags; clear_status_flags_801a5f1c; clear_status_flags_801a7e64; clear_status_flags_801a8930; clear_status_flags_801a8e90; clear_status_flags_801a9520; clear_status_flags_801a9f7c; clear_status_flags_801aa664; clear_status_flags_801aa9bc; copy_table_801af094; handle_ecu_state_801aec84; handle_error_condition_801a7d80; handle_param_update; initialize_ecu_state_801a9c70; initialize_globals_801b1a2c; initialize_state_801a8380; process_sensor_data_801ab434; reset_and_dispatch_80169e7c; reset_and_init_state; reset_control_flags; reset_control_flags_801a5b80; reset_control_flags_801a605c; reset_control_flags_801a623c; reset_control_flags_801a81d8; reset_control_flags_801a854c; reset_control_flags_801a87ec; reset_control_flags_801a8d0c; reset_control_flags_801a9474; reset_control_flags_801a9c1c; reset_control_flags_801aa558; reset_control_flags_801aa8e8; reset_control_flags_801aaef8; reset_ecu_state_801a5c10; reset_ecu_state_801a5e18; reset_ecu_state_801a7e04; reset_ecu_state_801a9b8c; reset_ecu_state_801a9d58; reset_ecu_state_801aa42c; reset_ecu_state_801aa6bc; reset_ecu_state_801aa844; reset_error_flags; reset_flags_801a5ab8; reset_flags_801a5cdc; reset_flags_801a5d2c; reset_flags_801a60f0; reset_flags_801a620c; reset_flags_801a7edc; reset_flags_801a80c0; reset_flags_801a8648; reset_flags_801a908c; reset_flags_801a9238; reset_flags_801a9264; reset_flags_801a93fc; reset_flags_801a9ee0; reset_flags_801aa71c; reset_flags_801aa8a0; reset_flags_and_call_handler; reset_flags_and_call_handler_801a9344; reset_flags_and_call_handlers; reset_flags_and_values; reset_flags_and_values_801a800c; reset_flags_and_values_801a8224; reset_flags_and_values_801aa48c; reset_flags_if_conditions_met; reset_status_flags; reset_status_flags_801a5a3c; reset_status_flags_801a95b8; reset_status_flags_801aa23c; reset_system_state; set_error_flags; set_error_flags_801aa4fc; set_flag_bits; set_initial_state_801aa78c; set_status_flags_801a5a64; task_dispatch_loop_801a8a7c; update_control_flag_801af0e4; update_control_flags_801a5bc4; update_control_flags_801a8840; update_control_flags_801a95a4; update_control_flags_801aa158; update_control_flags_801aa3c0; update_control_flags_801aa964; update_control_flags_801aaea0; update_status_flags_801a547c; update_status_flags_801a54a8; update_status_flags_801a59cc; update_status_flags_801a5ae8; update_status_flags_801a5d78; update_status_flags_801a5dd0; update_status_flags_801a5fa8; update_status_flags_801a6008; update_status_flags_801a6294; update_status_flags_801a7f08; update_status_flags_801a7fa0; update_status_flags_801a825c; update_status_flags_801a8288; update_status_flags_801a84f8; update_status_flags_801a8794; update_status_flags_801a87bc; update_status_flags_801a8864; update_status_flags_801a888c; update_status_flags_801a88f0; update_status_flags_801a89d4; update_status_flags_801a8fc0; update_status_flags_801a90ec; update_status_flags_801a928c; update_status_flags_801a92e0; update_status_flags_801a9424; update_status_flags_801a9d20; update_status_flags_801a9e74; update_status_flags_801aa020; update_status_flags_801aa078; update_status_flags_801aa0d0; update_status_flags_801aa12c; update_status_flags_801aa604; update_status_flags_801aa73c; update_status_flags_801aace4; update_status_flags_801aad3c; update_status_flags_801aad94; update_status_flags_801aadf0; update_status_flags_801aae48; update_status_flags_801aaf5c; update_status_flags_801aafb0; update_status_flags_801ab070; update_status_flags_801ab0e8; update_status_flags_801ae8e8; update_status_flags_801b1ce4
0x8004449e,0x80044436,copy_and_select_data,FUN_80116e08; copy_and_select_data; reset_ecu_state_801bf2b4; update_checksum_and_flag; update_checksum_and_flag_800a8518
0x80044505,0x80044436,copy_and_select_data,FUN_80116e08; copy_and_select_data; reset_ecu_state_801bf2b4; update_checksum_and_flag; update_checksum_and_flag_800a8518
0x800449fc,,,
0x80048c18,,,
0x80048dde,,,
0x80048e2c,,,
0x80049114,,,
0x8004925c,,,
0x8004eb6c,,,
0x80053235,,,
0x800532f5,,,
0x80055e64,,,
0x80055f04,,,
0x800560f5,,,
0x800564c4,,,
0x80056764,,,
0x80057620,,,
0x8005774e,,,
0x80057be8,,,
0x80057c00,,,
0x80057c18,,,
0x80057c30,,,
0x80057c48,,,
0x80057c60,,,
0x80057c78,,,
0x80057c90,,,
0x80057ca8,,,
0x80057cc0,,,
0x80057cd8,,,
0x80057cf0,,,
0x80057d08,,,
0x80057d20,,,
0x80057d38,,,
0x80057d50,,,
0x8005ef0c,,,
0x8005ef20,,,
0x8006567a,,,
0x8006d3ac,,,
0x8006d3c2,,,
0x80074084,,,
0x8007865b,,,
0x8007870e,,,
0x800787c2,,,
0x8007a38c,,,
